number,value,datetime_start,datetime_complete,duration,params_d_period,params_ema_period,params_k_period,params_left_bars,params_max_separation,params_min_close_ratio,params_min_separation,params_overbought,params_oversold,params_right_bars,params_rr_target,user_attrs_avg_profit_factor,user_attrs_avg_quarter_return,user_attrs_full_total_trades,user_attrs_max_drawdown_pct,user_attrs_max_quarter_drawdown_worst,user_attrs_min_profit_factor,user_attrs_min_trades_per_period,user_attrs_positive_ratio,user_attrs_profit_factor,user_attrs_q_2024-Q1_drawdown,user_attrs_q_2024-Q1_pf,user_attrs_q_2024-Q1_return,user_attrs_q_2024-Q1_trades,user_attrs_q_2024-Q2_drawdown,user_attrs_q_2024-Q2_pf,user_attrs_q_2024-Q2_return,user_attrs_q_2024-Q2_trades,user_attrs_q_2024-Q3_drawdown,user_attrs_q_2024-Q3_pf,user_attrs_q_2024-Q3_return,user_attrs_q_2024-Q3_trades,user_attrs_q_2024-Q4_drawdown,user_attrs_q_2024-Q4_pf,user_attrs_q_2024-Q4_return,user_attrs_q_2024-Q4_trades,user_attrs_q_2025-Q1_drawdown,user_attrs_q_2025-Q1_pf,user_attrs_q_2025-Q1_return,user_attrs_q_2025-Q1_trades,user_attrs_q_2025-Q2_drawdown,user_attrs_q_2025-Q2_pf,user_attrs_q_2025-Q2_return,user_attrs_q_2025-Q2_trades,user_attrs_total_return_pct,user_attrs_total_trades,user_attrs_win_rate,state
10,-9999.0,2026-04-28 13:03:32.336817,2026-04-28 13:03:39.995663,0 days 00:00:07.658846,3,36,13,7,51,0.8,9,78,12,3,2.6,1.7868149970916234,0.931164206366797,106,-2.090919840209935,-1.8742914852394166,0.14415605737227996,14,0.6666666666666666,1.4550978076672718,-1.7681992955637142,0.14415605737227996,-1.7202720000000116,14,-1.6413154300579442,1.643780919389588,1.7491460700827854,24,-0.4174356602762416,5.0,3.449811949713255,21,-1.8742914852394166,1.7304028624928205,1.5233543042080466,17,-1.1024206027771701,1.411950615746281,1.007765411407724,14,-1.4097192002198191,0.7905995275487712,-0.42282049721101833,16,5.634301999999947,106,0.4528301886792453,COMPLETE
11,-9999.0,2026-04-28 13:03:40.000339,2026-04-28 13:03:47.618967,0 days 00:00:07.618628,2,31,12,7,43,0.8,9,88,11,5,2.5,1.7330972638270998,1.1932243852726843,98,-1.457663903595587,-1.457663903595587,0.9269418334081322,10,0.6666666666666666,1.6505757141801851,-1.457663903595587,0.9527622708276252,-0.07742499999998653,15,-0.7258112475021677,3.1056333338455637,4.113654997381699,22,-1.2242500905670604,1.4878892108476842,0.6490101294257089,12,-0.5974607417594037,1.8644794025830866,0.9441569206164679,10,-1.1533960177011713,0.9269418334081322,-0.23258973494379998,21,-0.6106387194869687,2.0608775314505063,1.7625389991560159,18,7.309615000000047,98,0.4387755102040816,COMPLETE
12,-9999.0,2026-04-28 13:03:47.623780,2026-04-28 13:03:55.273262,0 days 00:00:07.649482,2,39,14,6,43,0.85,9,90,11,4,2.7800000000000002,1.5965681084283727,0.8602133341064393,75,-2.0171948108456204,-1.4563511048210898,0.5726182268355554,10,0.6666666666666666,1.5820483177314193,-1.4563511048210898,0.8351493055290937,-0.21613079999995843,11,-1.0429473990507643,1.809991961414815,1.7166812769774387,18,-0.8065916191339774,0.5726182268355554,-0.4421749476295367,10,-1.3958206690644122,1.975829739768397,1.679579820793875,14,-1.0612161590573346,1.3600112461111775,0.6667542671655591,12,-0.6048939815488721,3.0258081709111972,1.7565703873312577,10,5.247113200000131,75,0.4266666666666667,COMPLETE
13,-9999.0,2026-04-28 13:03:55.277996,2026-04-28 13:04:02.891948,0 days 00:00:07.613952,2,40,13,5,41,0.8,10,87,15,5,2.3200000000000003,1.405681138660956,0.46746405418788645,125,-4.310381544254863,-4.310381544254863,0.26149260091079585,16,0.8333333333333334,1.177510367100956,-1.8025053935568387,1.9796718817025936,2.420828000000008,23,-0.7427488510894656,1.7569630725953853,1.6079385728066997,23,-0.5315527706361487,1.9445443092831598,0.900572677253253,16,-1.4346770476654602,1.036077811323097,0.11038951809954067,23,-4.310381544254863,0.26149260091079585,-3.1655813433616675,18,-1.2896480627658873,1.4553371561507051,0.9306369003294845,22,2.7404512000000825,125,0.448,COMPLETE
14,-9999.0,2026-04-28 13:04:02.896938,2026-04-28 13:04:10.571045,0 days 00:00:07.674107,3,33,11,7,53,0.9,9,80,13,4,2.22,3.9675137888518495,2.0676865054307068,62,-0.9802891756752925,-0.9802891756752925,3.170319562146954,3,1.0,4.390349643069964,-0.2369433274572534,3.170319562146954,0.24585380000001766,3,-0.7248982705416093,5.0,3.3078902261790777,10,-0.30133476242906065,5.0,3.016125337381159,17,-0.9073158863721585,3.4295598452767275,2.484501525093874,12,-0.9802891756752925,3.6467667083801283,2.28263465690115,11,-0.567733044692285,3.5584366173072857,1.069113487028961,9,13.02738459999999,62,0.6935483870967742,COMPLETE
15,-9999.0,2026-04-28 13:04:10.575944,2026-04-28 13:04:18.143341,0 days 00:00:07.567397,2,52,12,5,35,0.8,15,81,15,4,2.24,1.6633870548433842,1.0781850677521891,110,-3.1497341166171915,-2.7849122752412967,0.47871045767560994,15,0.5,1.449446078317697,-2.020978302611954,5.0,7.065465200000087,23,-1.0290510907812438,0.7354596069466508,-0.40206802370478245,15,-1.8274767969694843,0.47871045767560994,-1.0832909616874664,16,-1.4981901668351119,1.388083175382755,0.9259154798346048,19,-2.7849122752412967,0.6544976569779624,-1.4419601866212828,20,-0.9548487026114824,1.7235714320773268,1.405048898691974,17,6.395613200000083,110,0.43636363636363634,COMPLETE
16,-9999.0,2026-04-28 13:04:18.148091,2026-04-28 13:04:25.789330,0 days 00:00:07.641239,3,36,11,6,43,0.8,8,82,11,3,2.7600000000000002,1.5680160173033337,0.9126312740367367,121,-2.089817075017306,-2.089817075017306,0.5366024164507809,17,0.5,1.383217380736602,-1.6530979279619076,0.5366024164507809,-0.9998776000000098,17,-2.089817075017306,1.7497575029343915,1.632416971638051,23,-0.6715429597887363,3.0162642070628385,2.6006217216442806,22,-1.2135635021150022,2.4971602069529024,3.195535471357158,19,-1.8804181290181028,0.9452282771535431,-0.21963864669960476,22,-1.4112474685391043,0.6630834932655466,-0.7332702737194552,18,5.518272799999968,121,0.4132231404958678,COMPLETE
17,-9999.0,2026-04-28 13:04:25.793972,2026-04-28 13:04:33.458077,0 days 00:00:07.664105,2,36,10,5,59,0.95,10,86,15,4,2.7600000000000002,2.4655802497484376,0.9146250062410785,34,-1.0819388415358815,-0.8941400386417864,0.8739446007998551,3,0.8333333333333334,2.637878250452171,-0.2817200547815636,1.590621641693232,0.1351991999999802,3,-0.8867315934385558,5.0,3.2594720199048854,7,-0.2266798036190844,0.8739446007998551,-0.032920989875762086,4,-0.44733066323427206,4.118235555555374,0.8145148652680234,4,-0.8941400386417864,1.537602999361315,0.6219630531862697,6,-0.6639023387871088,1.6730767010808503,0.6895218889630739,10,5.57808919999998,34,0.5588235294117647,COMPLETE
18,-9999.0,2026-04-28 13:04:33.463135,2026-04-28 13:04:41.028359,0 days 00:00:07.565224,2,40,11,5,43,0.8,14,90,14,3,2.54,1.5183635086217613,0.6458691477502498,80,-2.0830533802127205,-2.0830533802127205,0.796609259320174,11,0.6666666666666666,1.4061383007403252,-0.7317149052216122,3.0546355991273244,2.2697353999999725,11,-2.0830533802127205,1.409796995253277,0.6955868197152437,15,-0.8930467490906575,0.796609259320174,-0.30011562256397895,13,-1.2416893160411442,1.2664201674810913,0.5952595795015725,17,-1.1290860260881879,0.909326865572431,-0.1585396070124756,12,-0.6959803952382356,1.6733921649762706,0.7732883168611648,12,3.916878999999862,80,0.4125,COMPLETE
19,-9999.0,2026-04-28 13:04:41.033185,2026-04-28 13:04:48.601915,0 days 00:00:07.568730,3,35,12,7,54,0.95,13,89,14,5,2.3400000000000003,2.5,0.9676837541508091,17,-0.7243913787057911,-0.7243913787057911,0.0,0,0.5,5.0,-0.34155437358622553,0.0,-0.2377900000000044,2,-0.7243913787057911,5.0,3.7923179528600803,5,-0.40534170321982604,0.0,-0.3040498804746883,2,-0.5095887995639183,5.0,1.7749450032201075,3,0.0,0.0,0.0,0,-0.007030229549456482,5.0,0.7806794492993596,5,5.883172999999986,17,0.7647058823529411,COMPLETE
20,-9999.0,2026-04-28 13:04:48.606888,2026-04-28 13:04:56.260829,0 days 00:00:07.653941,3,40,11,7,43,0.8,10,79,14,3,2.3200000000000003,1.4038889048880747,0.736614562171976,140,-3.3779435013656247,-3.294437843776,0.6588620431303133,18,0.6666666666666666,1.2485146626196149,-3.294437843776,0.6588620431303133,-1.4297159999999587,25,-2.922102096580209,0.9130431599277938,-0.27953495599137845,25,-0.8185633077318486,1.8460286360210918,1.7474997157935102,25,-1.202651438857142,2.2145994065281642,2.8198638397464393,22,-1.4311331591909924,1.0751002043867695,0.31944403406898303,25,-0.8580663710065267,1.7156999793343155,1.24213073941426,18,4.442549999999912,140,0.4,COMPLETE
21,-9999.0,2026-04-28 13:04:56.265585,2026-04-28 13:05:03.853755,0 days 00:00:07.588170,3,56,14,7,39,0.9,14,83,12,3,2.3000000000000003,1.7000698736913658,0.4078782304989814,52,-1.6695879977775983,-1.6695879977775983,0.4320957686933483,4,0.5,1.4032662036504528,-1.4592806478825602,1.6794450887679722,0.9139080000000188,10,-0.8279371410980542,0.4320957686933483,-0.6282890164158395,10,-0.38229719023516145,0.8927257141108005,-0.034941207596406176,4,-0.8230722720609998,5.0,1.8072282185742194,8,-0.662503632924645,1.218544943235071,0.4111938357747258,13,-1.6695879977775983,0.977607727341004,-0.021830447342829906,7,2.453770000000066,52,0.4230769230769231,COMPLETE
22,-9999.0,2026-04-28 13:05:03.858554,2026-04-28 13:05:11.478846,0 days 00:00:07.620292,3,41,14,5,37,0.95,12,84,15,5,2.7800000000000002,2.3682197137786414,0.451829827995955,24,-1.2984448413956602,-1.2735248099872165,0.0,1,0.6666666666666666,1.8709837935810685,-0.9286133057263807,0.0,-0.35072000000000436,1,-0.9959710084678768,2.246760889141641,1.319899551707726,8,-0.17270454380734404,3.992462952541744,0.4740125104345516,3,-0.5259907213825049,5.0,2.010160273536532,5,-1.2735248099872165,0.0,-1.082706849572801,4,-0.3680194631049322,2.970094440988464,0.3403334818697257,3,2.7102664000000054,24,0.4583333333333333,COMPLETE
23,-9999.0,2026-04-28 13:05:11.483528,2026-04-28 13:05:19.027966,0 days 00:00:07.544438,2,33,14,6,59,0.8,15,89,15,4,2.3400000000000003,2.101858042302549,0.9946353127190907,62,-2.0233967386016865,-1.546402712746731,0.15391673096222988,6,0.8333333333333334,2.083207459207474,-0.7646063684256341,1.3383332889374822,0.2540274000000453,9,-0.7208637162854086,5.0,4.396749451683357,15,-0.43727183191457847,1.4109749895133838,0.29955930744791637,9,-1.108897465542474,2.715488403266798,1.9749558559730263,13,-1.546402712746731,0.15391673096222988,-1.3624518015585174,10,-0.3730588024378139,1.9924348411353998,0.4049716627687161,6,6.0178132000000994,62,0.5483870967741935,COMPLETE
