timestamp,Open,High,Low,Close,Volume
2024-01-01 00:00:00+00:00,42283.58,42397.23,42261.02,42397.23,155.25731
2024-01-01 00:05:00+00:00,42397.22,42432.74,42385.26,42409.96,141.31102
2024-01-01 00:10:00+00:00,42409.97,42488.09,42409.96,42488.0,135.14249
2024-01-01 00:15:00+00:00,42488.0,42554.57,42458.58,42458.85,163.32541
2024-01-01 00:20:00+00:00,42458.85,42491.1,42445.84,42473.93,117.27112
2024-01-01 00:25:00+00:00,42473.93,42500.0,42412.02,42419.73,111.65236
2024-01-01 00:30:00+00:00,42419.73,42419.73,42354.19,42362.93,77.85936
2024-01-01 00:35:00+00:00,42362.93,42447.82,42355.36,42447.82,149.18862
2024-01-01 00:40:00+00:00,42447.82,42447.82,42396.5,42441.32,92.85846
2024-01-01 00:45:00+00:00,42441.32,42465.52,42422.45,42422.46,59.74817
2024-01-01 00:50:00+00:00,42422.45,42459.56,42422.45,42459.55,33.134
2024-01-01 00:55:00+00:00,42459.56,42490.74,42455.99,42475.23,34.93276
2024-01-01 01:00:00+00:00,42475.23,42475.23,42435.52,42435.53,86.468
2024-01-01 01:05:00+00:00,42435.52,42459.22,42431.65,42436.8,58.69942
2024-01-01 01:10:00+00:00,42436.8,42471.1,42436.8,42466.33,43.59357
2024-01-01 01:15:00+00:00,42466.32,42495.71,42466.32,42493.61,37.14979
2024-01-01 01:20:00+00:00,42493.61,42513.17,42478.07,42478.07,51.74072
2024-01-01 01:25:00+00:00,42478.07,42511.1,42470.0,42493.16,63.5964
2024-01-01 01:30:00+00:00,42493.16,42574.5,42493.16,42565.22,64.97471
2024-01-01 01:35:00+00:00,42565.22,42775.0,42565.21,42717.52,420.49157
2024-01-01 01:40:00+00:00,42717.53,42751.73,42675.0,42697.5,157.10679
2024-01-01 01:45:00+00:00,42697.5,42720.0,42653.06,42698.01,113.43382
2024-01-01 01:50:00+00:00,42698.01,42706.1,42660.0,42664.45,39.00133
2024-01-01 01:55:00+00:00,42664.46,42664.49,42613.56,42613.56,60.12244
2024-01-01 02:00:00+00:00,42613.57,42638.41,42558.82,42563.79,94.92511
2024-01-01 02:05:00+00:00,42563.79,42576.21,42545.45,42548.93,74.69948
2024-01-01 02:10:00+00:00,42548.92,42564.87,42541.1,42556.63,47.67362
2024-01-01 02:15:00+00:00,42556.64,42556.64,42531.1,42535.99,52.35529
2024-01-01 02:20:00+00:00,42535.99,42571.68,42535.99,42546.0,49.60982
