time,side,entry_price,stop_price,stop_distance_pct,skip_reason,equity,risk_per_trade_pct,position_mode,period
2024-02-17 00:15:00+00:00,short,52163.93,52208.43,0.0008530798963958428,stop_too_tight,97518.06556179,0.01,capped_10x,2024-Q1
2024-02-18 06:35:00+00:00,short,51678.73,51700.01,0.00041177482496181376,stop_too_tight,97518.06556179,0.01,capped_10x,2024-Q1
2024-06-02 23:00:00+00:00,short,67946.99,67984.01,0.0005448364968041928,stop_too_tight,101959.51363280848,0.01,capped_10x,2024-Q2
2024-10-06 00:25:00+00:00,short,62056.61,62100.0,0.0006992002946986537,stop_too_tight,98492.6999490993,0.01,capped_10x,2024-Q4
2024-10-19 22:00:00+00:00,short,68300.01,68345.41,0.0006647143975529248,stop_too_tight,96554.22828882601,0.01,capped_10x,2024-Q4
2024-11-02 23:55:00+00:00,long,69200.19,69149.0,0.0007397378533209566,stop_too_tight,95134.3427330919,0.01,capped_10x,2024-Q4
2024-12-28 08:20:00+00:00,long,94384.43,94307.0,0.000820368359484642,stop_too_tight,97881.35238752437,0.01,capped_10x,2024-Q4
2025-02-15 07:45:00+00:00,long,97441.57,97352.05,0.0009187044092167652,stop_too_tight,105752.8136344156,0.01,capped_10x,2025-Q1
2025-04-30 12:25:00+00:00,short,95135.35,95228.45,0.000978605744342048,stop_too_tight,101632.95324613966,0.01,capped_10x,2025-Q2
2025-05-10 03:15:00+00:00,short,103185.23,103265.82,0.0007810226327935797,stop_too_tight,101632.95324613966,0.01,capped_10x,2025-Q2
2025-05-17 05:30:00+00:00,short,103643.9,103709.86,0.0006364098610724452,stop_too_tight,99517.8452225205,0.01,capped_10x,2025-Q2
2025-05-23 10:20:00+00:00,short,111309.66,111381.61,0.0006463949310418978,stop_too_tight,99517.8452225205,0.01,capped_10x,2025-Q2
2025-05-25 05:35:00+00:00,short,108187.75,108288.69,0.0009330076649158738,stop_too_tight,99517.8452225205,0.01,capped_10x,2025-Q2
2025-06-03 05:20:00+00:00,long,105193.48,105116.2,0.0007346462917663608,stop_too_tight,100355.14448970895,0.01,capped_10x,2025-Q2
2025-06-21 04:00:00+00:00,short,103650.49,103691.67,0.00039729672286154184,stop_too_tight,99419.58983734772,0.01,capped_10x,2025-Q2
2025-06-28 11:20:00+00:00,long,107284.38,107252.6,0.00029622205953931815,stop_too_tight,97252.90954625375,0.01,capped_10x,2025-Q2
2025-07-01 06:05:00+00:00,long,106840.0,106740.0,0.0009359790340696368,stop_too_tight,100000.0,0.01,capped_10x,2025-Q3
2025-07-04 11:55:00+00:00,short,109020.0,109111.0,0.0008347092276646487,stop_too_tight,100000.0,0.01,capped_10x,2025-Q3
2025-07-05 09:45:00+00:00,long,107937.74,107870.42,0.0006236928807292702,stop_too_tight,100000.0,0.01,capped_10x,2025-Q3
2025-07-15 23:35:00+00:00,short,117898.94,117972.86,0.0006269776471272622,stop_too_tight,93386.24506096895,0.01,capped_10x,2025-Q3
2025-07-20 01:50:00+00:00,short,118018.43,118131.2,0.0009555287254711326,stop_too_tight,93386.24506096895,0.01,capped_10x,2025-Q3
2025-08-26 06:15:00+00:00,short,110293.55,110375.58,0.0007437424944613609,stop_too_tight,84588.68278247655,0.01,capped_10x,2025-Q3
2025-08-27 03:50:00+00:00,long,111015.8,110918.26,0.0008786136748103257,stop_too_tight,84588.68278247655,0.01,capped_10x,2025-Q3
2025-09-03 04:10:00+00:00,long,110961.36,110892.14,0.0006238207606684089,stop_too_tight,83573.0701368554,0.01,capped_10x,2025-Q3
2025-09-20 00:35:00+00:00,short,115610.79,115670.36,0.0005152633244700342,stop_too_tight,80719.3918553434,0.01,capped_10x,2025-Q3
2025-09-27 08:45:00+00:00,long,109316.39,109260.76,0.0005088898380197576,stop_too_tight,78309.97607422923,0.01,capped_10x,2025-Q3
2024-02-17 00:15:00+00:00,short,52163.93,52208.43,0.0008530798963958428,stop_too_tight,97518.06556179,0.01,capped_10x,2024-2025-Full
2024-02-18 06:35:00+00:00,short,51678.73,51700.01,0.00041177482496181376,stop_too_tight,97518.06556179,0.01,capped_10x,2024-2025-Full
2024-06-02 23:00:00+00:00,short,67946.99,67984.01,0.0005448364968041928,stop_too_tight,87726.00134308204,0.01,capped_10x,2024-2025-Full
2024-10-06 00:25:00+00:00,short,62056.61,62100.0,0.0006992002946986537,stop_too_tight,75981.99709578016,0.01,capped_10x,2024-2025-Full
2024-10-19 22:00:00+00:00,short,68300.01,68345.41,0.0006647143975529248,stop_too_tight,74486.56144985386,0.01,capped_10x,2024-2025-Full
2024-11-02 23:55:00+00:00,long,69200.19,69149.0,0.0007397378533209566,stop_too_tight,73391.20785425534,0.01,capped_10x,2024-2025-Full
2024-12-28 08:20:00+00:00,long,94384.43,94307.0,0.000820368359484642,stop_too_tight,75510.36462680262,0.01,capped_10x,2024-2025-Full
2025-02-15 07:45:00+00:00,long,97441.57,97352.05,0.0009187044092167652,stop_too_tight,78397.12474452396,0.01,capped_10x,2024-2025-Full
2025-04-30 12:25:00+00:00,short,95135.35,95228.45,0.000978605744342048,stop_too_tight,78026.96537423455,0.01,capped_10x,2024-2025-Full
2025-05-10 03:15:00+00:00,short,103185.23,103265.82,0.0007810226327935797,stop_too_tight,78026.96537423455,0.01,capped_10x,2024-2025-Full
2025-05-17 05:30:00+00:00,short,103643.9,103709.86,0.0006364098610724452,stop_too_tight,76403.10669813323,0.01,capped_10x,2024-2025-Full
2025-05-23 10:20:00+00:00,short,111309.66,111381.61,0.0006463949310418978,stop_too_tight,76403.10669813323,0.01,capped_10x,2024-2025-Full
2025-05-25 05:35:00+00:00,short,108187.75,108288.69,0.0009330076649158738,stop_too_tight,76403.10669813323,0.01,capped_10x,2024-2025-Full
2025-06-03 05:20:00+00:00,long,105193.48,105116.2,0.0007346462917663608,stop_too_tight,77045.92423481251,0.01,capped_10x,2024-2025-Full
2025-06-21 04:00:00+00:00,short,103650.49,103691.67,0.00039729672286154184,stop_too_tight,76327.62759543117,0.01,capped_10x,2024-2025-Full
2025-06-28 11:20:00+00:00,long,107284.38,107252.6,0.00029622205953931815,stop_too_tight,74664.2281858032,0.01,capped_10x,2024-2025-Full
2025-07-04 11:55:00+00:00,short,109020.0,109111.0,0.0008347092276646487,stop_too_tight,74664.2281858032,0.01,capped_10x,2024-2025-Full
2025-07-05 09:45:00+00:00,long,107937.74,107870.42,0.0006236928807292702,stop_too_tight,74664.2281858032,0.01,capped_10x,2024-2025-Full
2025-07-15 23:35:00+00:00,short,117898.94,117972.86,0.0006269776471272622,stop_too_tight,69726.15573470316,0.01,capped_10x,2024-2025-Full
2025-07-20 01:50:00+00:00,short,118018.43,118131.2,0.0009555287254711326,stop_too_tight,69726.15573470316,0.01,capped_10x,2024-2025-Full
2025-08-26 06:15:00+00:00,short,110293.55,110375.58,0.0007437424944613609,stop_too_tight,63157.50876387091,0.01,capped_10x,2024-2025-Full
2025-08-27 03:50:00+00:00,long,111015.8,110918.26,0.0008786136748103257,stop_too_tight,63157.50876387091,0.01,capped_10x,2024-2025-Full
2025-09-03 04:10:00+00:00,long,110961.36,110892.14,0.0006238207606684089,stop_too_tight,62399.24614132674,0.01,capped_10x,2024-2025-Full
2025-09-20 00:35:00+00:00,short,115610.79,115670.36,0.0005152633244700342,stop_too_tight,60268.594576527015,0.01,capped_10x,2024-2025-Full
2025-09-27 08:45:00+00:00,long,109316.39,109260.76,0.0005088898380197576,stop_too_tight,58469.63842876915,0.01,capped_10x,2024-2025-Full
