segment,bar_count,trade_count,win_rate,avg_win_R,avg_loss_R,expectancy_R,expected_R_from_winrate,profit_factor_price_pnl,profit_factor_R,expectancy_price_pnl,avg_win_risk_per_unit,avg_loss_risk_per_unit,target_exit_count,stop_exit_count,other_exit_count,max_drawdown_pct,avg_R,long_count,short_count,avg_hold_bars,max_consecutive_losses,r_drawdown_abs
2024Q1,26208,47,0.5319,2.0,-1.0,0.5957,0.5957,1.7903,2.2727,67.4032,143.53,182.2,25,22,0,1.1502,0.5957,25,22,15.7,4,4.0
2024Q2,26208,46,0.413,2.0,-1.0,0.2391,0.2391,1.3917,1.4074,42.9098,184.56,186.64,19,27,0,1.7718,0.2391,26,20,16.6,7,7.0
2024Q3,26496,50,0.56,2.0,-1.0,0.68,0.68,1.7436,2.5455,60.1688,125.97,183.9,28,22,0,1.6805,0.68,23,27,12.3,4,4.0
2024Q4,26496,45,0.5556,2.0,-1.0,0.6667,0.6667,2.2981,2.5,116.514,185.64,201.95,25,20,0,1.3978,0.6667,25,20,14.8,3,3.0
2025Q1,25920,38,0.6053,2.0,-1.0,0.8158,0.8158,1.1719,3.0667,29.7318,167.4,438.05,23,15,0,2.7587,0.8158,19,19,8.5,3,3.0
2025Q2,26208,38,0.5789,2.0,-1.0,0.7368,0.7368,2.6479,2.75,135.0505,187.41,194.64,22,16,0,0.949,0.7368,23,15,9.7,4,4.0
2025Q3,26496,49,0.5714,2.0,-1.0,0.7143,0.7143,1.6213,2.6667,62.4622,142.63,234.59,28,21,0,2.3303,0.7143,20,29,6.8,5,5.0
2025Q4,26496,38,0.5526,2.0,-1.0,0.6579,0.6579,2.7504,2.4706,158.3174,225.07,202.18,21,17,0,1.0482,0.6579,20,18,14.6,3,3.0
