risk_per_trade_pct,period,ending_equity,total_return,total_trades,profit_factor,sharpe_ratio,max_drawdown_pct,win_rate,expectancy_r,avg_actual_risk_pct,min_actual_risk_pct,max_actual_risk_pct,avg_notional_pct,max_notional_pct,avg_implied_leverage,max_implied_leverage,p95_implied_leverage,max_consecutive_losses,worst_trade_r,cost_as_pct_of_gross_profit
0.005,2024-Q1,118883.01923391379,18.883019233913778,17,8.57413523219884,8.228470141882415,-1.8104748376288737,0.7647058823529411,2.0529675756105945,0.004999924532234941,0.004999792387025824,0.004999994855559128,286.5634573517059,801.430509615,2.6150660599168987,7.545507285769236,5.7187251668838295,2,-1.1719623018510126,4.787236406441102
0.005,2024-Q2,114802.82278058841,14.802822780588398,24,3.334108690001629,5.040562705458337,-2.3910575805991616,0.5416666666666666,1.1642369639871595,0.00499993253842038,0.0049998108068615545,0.004999998842494853,204.4950809185833,338.44601637000005,1.9064849050466626,3.0798301423052443,3.0191477914831224,4,-1.107079878639315,4.652755402940111
0.005,2024-Q3,106644.80662525681,6.644806625256816,22,1.9306408737711567,2.5813290877485384,-5.067221783210254,0.4090909090909091,0.5959320309384322,0.00499992678840004,0.004999782008346971,0.004999997275817107,235.75985263150002,804.3922227000002,2.3303701381437336,7.99227646777278,4.1187452933794315,8,-1.1493716442295898,7.772683780382833
0.005,2024-Q4,109302.97167886341,9.302971678863404,29,1.9785764069649263,3.2258711524756354,-3.030011902643497,0.41379310344827586,0.6247848231450758,0.004999851056637068,0.004999463136048782,0.004999997642881902,281.0104706611724,860.7566688,2.7401206407585477,8.721938719537109,7.46682055996121,4,-1.2707667616639131,6.842927739603691
0.005,2025-Q1,120726.56741553015,20.726567415530162,30,3.6601375413953194,6.478051317813997,-2.6495381552964488,0.5666666666666667,1.2702503687495472,0.004999875287473038,0.004999431710310932,0.0049999982266934655,282.39550626386676,899.155066788,2.564563414812915,7.325552226624085,5.478397263070432,3,-1.1902981521734577,4.287142875789451
0.005,2025-Q2,108539.06305294155,8.539063052941543,19,2.5351455615237652,3.4086648658744743,-2.563222704442546,0.47368421052631576,0.8748790749676215,0.004999908425199537,0.004999726887500174,0.004999996552275498,347.97069627584216,1151.5392199500002,3.343163194814479,11.142002287752574,6.445462845906503,3,-1.1254376824797352,5.919642362914523
0.005,2025-Q3,114392.0071435224,14.3920071435224,20,4.172486500404241,5.722112543626646,-2.075338721069046,0.6,1.3589432528725358,0.0049999150556105775,0.004999690535636169,0.004999993500475519,628.3923891896001,1901.645525295,5.973155478755741,18.87024728202414,18.700656160053608,3,-1.1306481010960339,6.852006405477969
0.005,2025-Q4,108847.73317400116,8.84773317400116,26,2.056500614588065,3.0761325077876576,-2.6799687804104195,0.4230769230769231,0.6634120800891559,0.004999856575071132,0.004999417536327957,0.004999999548076066,336.42910574250004,811.1224811999999,3.23558959952216,8.287776706710071,6.7947082495079405,4,-1.1303266693577747,6.825122764496001
0.005,2024-2025-Full,261169.95444595977,161.16995444595977,187,2.8796150595929735,4.6468829823176,-5.046605908787727,0.5133689839572193,1.039921058769346,0.004999928045528637,0.004999291787757528,0.004999999512044208,551.880096110738,3980.279994210001,3.0213430050788506,18.870259652125785,7.902837167564468,8,-1.2644089159920497,5.438721890796217
0.01,2024-Q1,141140.92046474287,41.14092046474287,17,8.317875371755669,8.26512207970623,-3.573048336579327,0.7647058823529411,2.062863726547383,0.009999933828998317,0.009999748726019202,0.009999996823504751,628.6993711132942,1701.592794861,5.230169150104874,15.091105343624287,11.437556111442799,2,-1.1620951468249408,4.343186904724345
0.01,2024-Q2,131677.6978064949,31.677697806494898,24,3.3417204698514995,5.097927104690396,-4.698809446212421,0.5416666666666666,1.1741811363980799,0.009999914305931718,0.009999804436651008,0.009999990773239677,439.02419501212495,750.26849436,3.8129882435212075,6.159714943514874,6.038349471484943,4,-1.0971817361590188,4.065164631359254
0.01,2024-Q3,113707.02517194564,13.707025171945642,22,1.960862846355409,2.6369857862232964,-9.820292104199932,0.4090909090909091,0.6059258400210402,0.009999936578650278,0.009999862607587513,0.009999996246630357,477.43909089018183,1619.489071,4.66076954037581,15.98460523148568,8.237565294467268,8,-1.139374874421117,6.950405205941111
0.01,2024-Q4,119430.36010408842,19.43036010408843,29,2.001894940983758,3.2862022831411415,-5.932208674204662,0.41379310344827586,0.6347638187026972,0.009999864337574393,0.009999378487329177,0.00999999607303504,577.4944025492068,1699.3621260000002,5.480282804822868,17.443855551281928,14.933681519372902,4,-1.2607659640792959,5.992774495673714
0.01,2025-Q1,145554.83989447614,45.55483989447615,30,3.653825864612268,6.53098854026557,-5.199900319798371,0.5666666666666667,1.2801388904843805,0.009999856228971715,0.009999557903301128,0.009999989797971289,624.3166325324665,2203.901581746,5.12915698677717,14.651092135083761,10.956799701902549,3,-1.1806516403940188,3.74411020665685
0.01,2025-Q2,117757.36227724071,17.757362277240716,19,2.5507783743857573,3.4602913295949667,-5.031701362613311,0.47368421052631576,0.884859222359628,0.009999899570745267,0.009999555844723968,0.009999994465598622,724.8035626139999,2380.1066703000006,6.68636176854615,22.284105700238786,12.890923443894568,3,-1.1154425466265876,5.244221861909073
0.01,2025-Q3,130744.23253638408,30.744232536384075,20,4.215208043108165,5.762374047050531,-4.085381858714947,0.6,1.3688931842523004,0.009999910228337641,0.009999594842075165,0.00999999591805132,1324.38414767755,3833.012145405001,11.946367356150123,37.74053455406289,37.401336739856276,3,-1.120649798945361,6.237325657595364
0.01,2025-Q4,118442.75795414364,18.44275795414365,26,2.0626686055962655,3.13274295565045,-5.259140863484993,0.4230769230769231,0.6733842094727653,0.00999988079028687,0.009999174440128131,0.00999999810343739,700.4968541601153,1588.15009515,6.471240459383016,16.57564574980794,13.589474917123445,4,-1.1203266179975109,6.069418539778419
0.01,2024-2025-Full,676087.8092699783,576.0878092699783,187,2.8176873161419103,4.691938037360387,-9.78593451442134,0.5133689839572193,1.048212908823639,0.009999955474079779,0.009999733693555411,0.009999999958794687,2128.8633888764334,16686.206430615002,6.04272348893305,37.740594306448706,15.805689021076246,8,-1.2553490581832631,4.998565304684315
0.015,2024-Q1,167069.37459234527,67.06937459234527,17,8.022659867947809,8.281082054308497,-5.298744721176945,0.7647058823529411,2.066098578156684,0.014999930556060075,0.014999853233629002,0.014999998835995287,1034.7400275643529,2707.2125802120004,7.845262540447321,22.63666223010992,17.156325646156297,2,-1.1588873009664595,4.1963240408861235
0.015,2024-Q2,150547.60833002688,50.547608330026875,24,3.3227120294879127,5.126909198960807,-6.954562809441911,0.5416666666666666,1.1774565284144631,0.014999933864360902,0.014999818697372918,0.014999999972571714,706.529395347875,1244.28823596,5.719504286027527,9.239563094076027,9.05758742165597,4,-1.093952079397284,3.8893495907831004
0.015,2024-Q3,120950.95154439802,20.95095154439801,22,1.974188936867779,2.6635294329808046,-14.349579710791453,0.4090909090909091,0.6092464850063459,0.014999895890864477,0.014999344570585816,0.014999996236299055,724.8990212835911,2442.4782124,6.991159130917464,23.976910830522066,12.3563746264208,8,-1.1360513677334054,6.683619194678163
0.015,2024-Q4,130082.89412825051,30.082894128250516,29,2.0071355296617273,3.312075386618874,-8.76737081674053,0.41379310344827586,0.6380690558687596,0.014999851974150715,0.014999141978415528,0.014999997190549593,890.5629030586207,2515.3776648,8.220447458512517,26.16578298383297,22.400528414274554,4,-1.2574359000989095,5.6908925666954575
0.015,2025-Q1,174750.15114960304,74.75015114960304,30,3.613863541108595,6.5523863676277765,-7.683094059884013,0.5666666666666667,1.2833652563024236,0.014999908016743443,0.014999583150559333,0.014999997006851513,1037.4703723250332,4034.797119192,7.693771497504014,21.97664889510809,16.435219529320594,3,-1.1776350203429375,3.5975064395112053
0.015,2025-Q2,127468.70562138535,27.468705621385347,19,2.5442097802374612,3.486420842903008,-7.437383066767307,0.47368421052631576,0.8881684579960606,0.014999901331070436,0.01499953358522868,0.01499999760267686,1131.7701059596313,3684.6082000500005,10.02956288964432,33.42616864171699,19.336368804861646,3,-1.1121164586803522,5.045078072690025
0.015,2025-Q3,149019.20208913193,49.01920208913193,20,4.219156637631264,5.777512392081771,-6.042360869026974,0.6,1.3721750850496226,0.014999929313463486,0.01499972885794676,0.014999988387711657,2094.9070595207504,5791.40114268,17.91957471541301,56.61081094416235,56.10199994268143,3,-1.117321399885185,6.013651004001076
0.015,2025-Q4,128518.76474912763,28.518764749127623,26,2.0505962595688065,3.1594645881676997,-7.778609443308691,0.4230769230769231,0.6766839709180379,0.014999906460503164,0.014999499264505495,0.014999996201042263,1093.7957759140002,2468.185089505,9.70688791345497,24.863426182789592,20.38419991840464,4,-1.1169932675440895,5.850293594754296
0.015,2024-2025-Full,1706315.7123109342,1606.3157123109343,187,2.7459986562376737,4.710687840337875,-14.306407953132668,0.5133689839572193,1.0503881952220793,0.014999966414424843,0.01499974137360141,0.01499999967483182,6351.803639504685,51438.121619640006,9.064096798683718,56.610901819899645,23.708530267469722,8,-1.2527749411498748,4.979220625803289
0.02,2024-Q1,197191.61138378977,97.19161138378978,17,7.740125770702556,8.291795928424184,-6.988600738823133,0.7647058823529411,2.0676749606874942,0.019999937770382815,0.01999980772656623,0.019999999370000503,1514.064250096412,3825.294537240001,10.46035924276842,30.18221415043516,22.875105509618017,2,-1.1573360069841603,4.122212798939808
0.02,2024-Q2,171582.43382719974,71.58243382719974,24,3.2981790059372442,5.1486377990514605,-9.159515316698245,0.5416666666666666,1.1790683455773179,0.01999989690029273,0.019999775491933495,0.01999999755893237,1010.1114231388752,1829.8469296800001,7.626003671161944,12.319439466014533,12.076779875585645,4,-1.0923824958183976,3.815241050309333
0.02,2024-Q3,128360.5639680176,28.360563968017605,22,1.9826306940830858,2.6827358263906183,-18.665202696678257,0.4090909090909091,0.6108993849887902,0.019999900035875765,0.01999972922937117,0.019999998129797376,977.976871069091,3270.5828386,9.321551721699883,31.969178887263617,16.475164014714323,8,-1.1343964551430528,6.555521028785092
0.02,2024-Q4,141246.8410589865,41.246841058986504,29,2.0066529419942407,3.3291613246577434,-11.536402041747518,0.41379310344827586,0.6397075914939442,0.019999876404789084,0.019999436987989904,0.019999984907351845,1221.3057245086209,3393.979156813,10.960615011054282,34.887733983008644,29.867357555624718,4,-1.2557735861914658,5.52902229166725
0.02,2025-Q1,208939.94095144153,108.93994095144154,30,3.5637016383185705,6.565833842627503,-10.100996531348587,0.5666666666666667,1.2849347658486105,0.01999988249203577,0.019999449948484495,0.019999994739857703,1535.5616576579337,6539.64637668,10.258366659478074,29.30221524152765,21.91362071657303,3,-1.176244182259476,3.5522582514859797
0.02,2025-Q2,137676.00079440925,37.67600079440925,19,2.531612591702915,3.5060966908705784,-9.782080030205494,0.47368421052631576,0.8898112890563965,0.01999988019784227,0.01999958646162588,0.019999982549684863,1570.1460410741054,5063.676120450001,13.372761519082685,44.56819486173521,25.781852240573855,3,-1.1104574055644056,4.964482396645409
0.02,2025-Q3,169389.71231505804,69.38971231505803,20,4.2110490373646305,5.786401572273871,-7.948053819823908,0.6,1.373793298531048,0.01999992073419983,0.019999685586847053,0.01999999088548417,2947.4787705801996,7774.125533025,23.892786279958813,75.48110967835326,74.80269062864421,3,-1.115660251923786,5.889044323321125
0.02,2025-Q4,139066.43012835938,39.06643012835937,26,2.033539532191152,3.1785939556052543,-10.239658246280909,0.4230769230769231,0.6783176426392062,0.01999990236985568,0.019999701765834092,0.019999987919999872,1517.8765746949616,3522.326076699,12.942528884635813,33.151300006375905,27.178967027693016,4,-1.115326569657249,5.765103293197962
0.02,2024-2025-Full,4204278.54397634,4104.278543976341,187,2.675548181852704,4.7236244996409456,-18.616535811155277,0.5133689839572193,1.0512443971415908,0.019999977384259255,0.019999793750996496,0.019999999899832952,17172.372060362868,138318.97147893,12.085470136870759,75.48120972804064,31.61138363057974,8,-1.2517115435899624,5.045582452548744
