entry_time,exit_time,side,entry_price_raw,entry_price_filled,exit_price_raw,exit_price_filled,qty,notional,target_risk_amount,actual_risk_amount,target_risk_pct,actual_risk_pct,stop_distance,stop_distance_pct,required_leverage,raw_qty,max_qty,cap_hit,stop_price,target_price,gross_pnl,fees,slippage_cost,net_pnl,r_multiple,equity_before,equity_after,exit_reason,bars_held,period
2024-01-07 14:30:00+00:00,2024-01-07 15:40:00+00:00,short,44364.0,44359.0,44073.25849046461,44078.25849046461,10.7886,478625.45040000003,1000.0,999.9953340000252,0.01,0.009999953340000253,92.69000000000233,0.002089306645027552,4.7862768367676,10.788650339842215,22.540798845911098,False,44456.69,44073.25849046461,3028.8078497735473,10.0,107.88600000000001,3018.8078497735473,3.018821935596623,100000.0,103018.80784977354,target,13,2024-Q1
2024-01-23 18:45:00+00:00,2024-01-23 19:05:00+00:00,short,39500.0,39495.0,39015.880412323975,39020.880412323975,6.6747000000000005,263650.65,1030.1880784977354,1030.1731979999768,0.01,0.009999855555523605,154.3399999999965,0.00390734177215181,2.5592846961254954,6.674796413747303,26.080710848043935,False,39654.34,39015.880412323975,3164.606011861163,10.0,66.747,3154.606011861163,3.0622093624505595,103018.80784977354,106173.4138616347,target,3,2024-Q1
2024-02-15 08:20:00+00:00,2024-02-15 14:30:00+00:00,long,51914.07,51919.07,52792.53657849262,52787.53657849262,3.7910000000000004,196806.23937000002,1061.734138616347,1061.7074599999912,0.01,0.009999748726019202,280.0599999999977,0.005394683945989935,1.8536767121331297,3.7910952603597656,20.451760738781356,False,51634.01,52792.53657849262,3292.356799065516,10.0,37.910000000000004,3282.356799065516,3.091583060992661,106173.4138616347,109455.77066070022,target,73,2024-Q1
2024-02-17 00:10:00+00:00,2024-02-17 05:25:00+00:00,short,52120.0,52115.0,51843.969653262335,51848.969653262335,12.4381,648273.772,1094.5577066070023,1094.5528,0.01,0.009999955172696948,88.0,0.0016884113584036838,5.922727272727273,12.438155756897753,21.000723457540335,False,52208.0,51843.969653262335,3308.912055757754,10.0,124.381,3298.912055757754,3.013935970706716,109455.77066070022,112754.68271645797,target,62,2024-Q1
2024-02-18 13:25:00+00:00,2024-02-18 14:35:00+00:00,long,51628.0,51633.0,51919.68252208108,51914.68252208108,12.1254,626010.1512000001,1127.5468271645798,1127.5409459999753,0.01,0.009999947841061119,92.98999999999796,0.0018011544123343528,5.551994838154762,12.125463245129632,21.839831625563253,False,51535.01,51919.68252208108,3415.513253241913,10.0,121.254,3405.513253241913,3.0203011831394613,112754.68271645797,116160.19596969988,target,13,2024-Q1
2024-02-18 17:55:00+00:00,2024-02-18 18:35:00+00:00,short,51885.88,51880.88,51684.75425189977,51689.75425189977,18.116,939964.60208,1161.6019596969988,1161.5979200000475,0.01,0.009999965223053235,64.12000000000262,0.0012357890046386921,8.09199625701776,18.11606300213586,22.38763146538131,False,51950.0,51684.75425189977,3462.4340525836737,10.0,181.16,3452.4340525836737,2.9721420752746637,116160.19596969988,119612.63002228356,target,7,2024-Q1
2024-02-18 20:45:00+00:00,2024-02-18 22:10:00+00:00,long,51721.51,51726.51,51961.123161219206,51956.123161219206,15.658100000000001,809860.575731,1196.1263002228357,1196.122258999991,0.01,0.0099999662140792,76.38999999999942,0.00147694837215695,6.770717371383741,15.658152902511386,23.12628344034881,False,51645.12,51961.123161219206,3595.3058396864167,10.0,156.58100000000002,3585.3058396864167,2.997440949459368,119612.63002228356,123197.93586196998,target,16,2024-Q1
2024-03-14 23:45:00+00:00,2024-03-15 00:20:00+00:00,short,71436.76,71431.76,71709.9,71714.9,4.510400000000001,322208.362304,1231.9793586196997,1231.9706559999975,0.01,0.00999992936066955,273.1399999999994,0.0038235216714755742,2.615389909936302,4.510431861388674,17.245733969733507,False,71709.9,70579.9994442281,-1277.0746559999975,10.0,45.104000000000006,-1287.0746559999975,-1.0447283380749615,123197.93586196998,121910.86120596998,stop,6,2024-Q1
2024-03-16 05:35:00+00:00,2024-03-16 07:05:00+00:00,long,68896.0,68901.0,69275.54172676429,69270.54172676429,10.0752,694140.9792000001,1219.1086120597,1219.0992,0.01,0.009999922795560572,121.0,0.0017562703204830469,5.693884297520661,10.075277785617354,17.694911345501914,False,68775.0,69275.54172676429,3723.2068054955903,10.0,100.75200000000001,3713.2068054955903,3.045861079636169,121910.86120596998,125624.06801146557,target,17,2024-Q1
2024-03-17 11:35:00+00:00,2024-03-17 12:05:00+00:00,short,67078.41,67073.41,67360.5,67365.5,4.4533000000000005,298720.28325300006,1256.2406801146558,1256.2313969999846,0.01,0.009999926104011611,282.0899999999965,0.004205376961081762,2.377908114431594,4.45333290834369,18.72794361277579,False,67360.5,66193.57590328151,-1300.7643969999847,10.0,44.533,-1310.7643969999847,-1.043409996064603,125624.06801146557,124313.30361446558,stop,5,2024-Q1
2024-03-18 06:00:00+00:00,2024-03-18 08:10:00+00:00,short,68624.15,68619.15,67992.98151851643,67997.98151851643,6.1779,423953.13628499996,1243.1330361446558,1243.1170380000071,0.01,0.00999987130786341,201.22000000000116,0.0029322038961502794,3.4104040353841363,6.177979505738239,18.11509557706224,False,68825.37,67992.98151851643,3837.51676175729,10.0,61.779,3827.51676175729,3.078967341574855,124313.30361446558,128140.82037622287,target,25,2024-Q1
2024-03-21 05:45:00+00:00,2024-03-21 06:05:00+00:00,long,66536.0,66541.0,67263.6536345023,67258.6536345023,5.5237,367524.9032,1281.4082037622286,1281.3879259999774,0.01,0.009999841754078117,231.97999999999593,0.003486533605867439,2.868178291232053,5.523787411683124,19.25887044250073,False,66304.02,67263.6536345023,3964.1033809003825,10.0,55.236999999999995,3954.1033809003825,3.0857972832970586,128140.82037622287,132094.92375712324,target,3,2024-Q1
2024-03-23 02:15:00+00:00,2024-03-23 03:35:00+00:00,short,64031.18,64026.18,63080.53775925245,63085.53775925245,4.3585,279079.89803000004,1320.9492375712323,1320.930594999999,0.01,0.009999858869889144,303.0699999999997,0.004733162812242406,2.1127521694658022,4.358561512426943,20.629781265490227,False,64334.25,63080.53775925245,4099.7892062981855,10.0,43.585,4089.7892062981855,3.0961423876310388,132094.92375712324,136184.71296342142,target,15,2024-Q1
2024-03-26 23:25:00+00:00,2024-03-27 00:35:00+00:00,short,70159.99,70154.99,70280.0,70285.0,11.3477,796154.5185230001,1361.8471296342143,1361.8374769999405,0.01,0.00999992912101466,120.00999999999476,0.0017105190579416382,5.846178651779274,11.347780431916288,19.41059469413,False,70280.0,69783.55361463653,-1475.3144769999406,10.0,113.477,-1485.3144769999406,-1.090669409592115,136184.71296342142,134699.39848642147,stop,13,2024-Q1
2024-03-29 14:10:00+00:00,2024-03-29 15:35:00+00:00,short,70349.99,70344.99,69572.05492847266,69577.05492847266,5.4312000000000005,382084.86568800005,1346.9939848642148,1346.9919119999718,0.01,0.009999984611184115,248.00999999999476,0.0035253736354474924,2.8365787669852627,5.431208357986546,19.147038753867832,False,70598.0,69572.05492847266,4170.808960479326,10.0,54.312000000000005,4160.808960479326,3.088963581304275,134699.39848642147,138860.2074469008,target,16,2024-Q1
