candidate_name,config_path,ema_period,lookback_bars,min_close_ratio,left_bars,right_bars,rr_target,oversold,overbought,stop_buffer,full_year_total_return,full_year_total_trades,full_year_win_rate,full_year_profit_factor,full_year_max_drawdown,q_positive_count,q_trade_count_min,q_trade_count_mean,q_profit_factor_mean,q_profit_factor_median,q_profit_factor_min,q_max_drawdown_worst,long_trades,short_trades,stability_score
aggressive_ema34_A,configs/candidates/aggressive_ema34_A.yaml,34,24,0.8,4,3,2.2,15,85,0.0,13.639339999999933,80,0.625,4.107151806745818,-0.639969560566906,4,18,20.0,3.5891826405846645,3.281934446956019,2.7928616684266188,-0.6926606976365813,41,39,0.6788768369019063
robust_ema55,configs/candidates/robust_ema55.yaml,55,24,0.8,4,3,2.2,15,85,0.0,13.422817999999936,128,0.5390625,2.4483549731700496,-1.1070693441287212,4,28,32.0,2.601405085206953,2.0583742462659855,1.9815629742033434,-1.1340282149815497,64,64,0.5511210868096948
stable_ema34_B,configs/candidates/stable_ema34_B.yaml,34,24,0.8,4,3,2.0,15,85,0.0,12.28728999999995,80,0.6375,3.861495432008741,-0.5474147847531724,4,18,20.0,3.4762797001164842,3.109738459507361,2.685641881451214,-0.5995119327990714,41,39,0.6595829183799777
