lookback_bars,min_close_ratio,left_bars,right_bars,score,total_return,total_trades,win_rate,profit_factor,max_drawdown,avg_trade,expectancy,long_trades,short_trades,target_exits,stop_exits,end_of_data_exits,avg_bars_held,median_bars_held,raw_bullish_divergence_candidates,raw_bearish_divergence_candidates,bullish_prior_trend_pass,bearish_prior_trend_pass,bullish_pivot1_channel_pass,bullish_pivot2_channel_pass,bearish_pivot1_channel_pass,bearish_pivot2_channel_pass,final_bullish_divergences,final_bearish_divergences
24,0.8,2,4,0.5815442614717296,10.343089999999933,108.0,0.6111111111111112,2.487737028262868,-1.1611105808753484,95.76935185185141,95.76935185185144,64,44,66,42,0,10.712962962962964,4.0,680,740,130,113,644,620,700,655,74,55
24,0.8,4,4,0.5802531309157973,11.122889999999952,118.0,0.6016949152542372,2.448159089459169,-0.9733375927881418,94.26177966101645,94.26177966101642,68,50,71,47,0,11.05084745762712,4.5,748,787,147,123,703,679,742,701,79,60
24,0.8,3,4,0.5727711591632564,10.368819999999923,113.0,0.5929203539823009,2.369696281188235,-1.1781292093195763,91.75946902654809,91.75946902654809,66,47,67,46,0,11.221238938053098,4.0,720,766,138,116,681,656,725,683,77,57
12,0.7,4,4,0.5593890039587651,10.694699999999946,125.0,0.576,2.2309142513828677,-1.2146750554089916,85.55759999999968,85.55759999999968,74,51,72,53,0,11.424,5.0,748,787,157,129,703,679,742,701,88,63
24,0.8,2,3,0.5584742728071113,11.831449999999943,133.0,0.556390977443609,2.1830255144230426,-1.232518377294408,88.95827067669148,88.9582706766915,67,66,74,59,0,9.81203007518797,4.0,862,926,155,147,817,781,882,825,81,79
8,0.6,4,4,0.5584064367152578,13.440639999999938,139.0,0.5827338129496403,2.3309514661554265,-1.6995702441621883,96.69525179856073,96.69525179856076,81,58,81,58,0,14.215827338129497,5.0,748,787,166,139,703,679,742,701,96,70
8,0.6,2,4,0.5579997867412291,11.97089999999994,126.0,0.5873015873015873,2.284279752389733,-1.8539512867626395,95.00714285714253,95.00714285714253,78,48,74,52,0,14.841269841269842,4.5,680,740,147,126,644,620,700,655,90,62
8,0.6,3,4,0.5539625589503104,12.617379999999923,132.0,0.5757575757575758,2.277585166404065,-2.043945934584615,95.58621212121155,95.58621212121159,79,53,76,56,0,14.522727272727273,5.0,720,766,155,130,681,656,725,683,93,65
24,0.8,4,3,0.5523813501464738,12.750609999999952,144.0,0.5486111111111112,2.1806021986853747,-1.1353075131145436,88.54590277777733,88.54590277777734,73,71,79,65,0,10.090277777777779,4.5,936,1004,172,161,883,848,954,901,87,87
16,0.8,2,3,0.5513756753719047,11.176049999999972,130.0,0.5461538461538461,2.080399289661912,-1.3878321812125527,85.96961538461524,85.96961538461521,66,64,71,59,0,10.361538461538462,4.0,862,926,157,149,817,781,882,825,81,79
16,0.8,4,4,0.5504341643807601,9.421789999999941,114.0,0.5701754385964912,2.2001775721530086,-1.2329444243252465,82.64728070175401,82.64728070175401,67,47,65,49,0,10.728070175438596,4.0,748,787,146,124,703,679,742,701,77,58
12,0.7,3,4,0.5503950483250087,9.871439999999932,118.0,0.5677966101694916,2.166029204357257,-1.7040769548417933,83.65627118644021,83.65627118644025,72,46,67,51,0,11.601694915254237,5.0,720,766,147,120,681,656,725,683,85,58
16,0.8,4,3,0.5496830041384256,12.714629999999971,144.0,0.5416666666666666,2.1478581868639277,-1.2086477076208069,88.29604166666644,88.29604166666644,72,72,78,66,0,10.131944444444445,5.0,936,1004,176,164,883,848,954,901,88,88
24,0.8,3,3,0.5490921240177138,11.786579999999924,139.0,0.539568345323741,2.102627428308415,-1.1353075131145436,84.79553956834486,84.79553956834485,70,69,75,64,0,10.244604316546763,4.0,902,964,163,151,855,818,919,865,84,82
12,0.7,2,4,0.5483351448072344,9.598799999999951,114.0,0.5789473684210527,2.185792430733646,-1.6890497318543287,84.19999999999965,84.19999999999963,71,43,66,48,0,11.666666666666666,4.5,680,740,139,117,644,620,700,655,82,56
16,0.7,2,4,0.5471138100564352,11.076369999999924,132.0,0.5833333333333334,2.0682248443670694,-1.320092492989721,83.91189393939335,83.91189393939338,81,51,77,54,1,13.446969696969697,5.0,680,740,154,133,644,620,700,655,96,66
12,0.7,2,3,0.5466096135240682,12.32306999999999,139.0,0.5467625899280576,2.1029063112231263,-1.4907135489044223,88.65517985611511,88.65517985611513,73,66,76,63,0,10.640287769784173,4.0,862,926,166,154,817,781,882,825,90,84
8,0.6,4,3,0.5456964250697395,17.732869999999945,173.0,0.5606936416184971,2.328210352072316,-1.7492732273918423,102.50213872832325,102.50213872832323,90,83,97,76,0,12.352601156069364,4.0,936,1004,200,184,883,848,954,901,111,104
8,0.6,2,3,0.5456931038130688,15.451629999999938,157.0,0.5605095541401274,2.222943159324371,-1.8546112552584075,98.41802547770676,98.41802547770678,83,74,88,69,0,12.789808917197453,4.0,862,926,178,167,817,781,882,825,102,93
16,0.7,4,4,0.5455556460048756,12.296959999999935,145.0,0.5793103448275863,2.0970182274939617,-1.2239956027001393,84.80662068965466,84.8066206896547,85,60,84,60,1,13.482758620689655,5.0,748,787,172,146,703,679,742,701,102,74
12,0.7,4,3,0.5449756051573081,14.03032999999998,154.0,0.5454545454545454,2.178451888292442,-1.3846359467009053,91.10603896103883,91.1060389610388,80,74,84,70,0,10.376623376623376,5.0,936,1004,187,170,883,848,954,901,99,94
6,0.6,2,2,0.5445499133764625,9.541369999999905,107.0,0.5327102803738317,2.0801163731866104,-1.1694966640499491,89.17168224298959,89.17168224298958,57,50,57,50,0,11.411214953271028,4.0,1060,1215,174,167,1003,935,1151,1059,76,69
6,0.6,4,3,0.5444144536759269,9.631339999999987,110.0,0.5363636363636364,2.04894618990363,-1.2278638911236246,87.55763636363594,87.55763636363595,59,51,59,51,0,10.681818181818182,4.0,936,1004,156,137,883,848,954,901,73,62
16,0.8,3,3,0.5439040923992273,11.309809999999953,136.0,0.5294117647058824,2.041968736727569,-1.3349473188027596,83.16036764705848,83.16036764705851,69,67,72,64,0,10.257352941176471,4.5,902,964,167,153,855,818,919,865,85,82
8,0.7,4,2,0.5428765792434231,9.781019999999941,114.0,0.5263157894736842,2.0404432804797814,-1.3476155526042366,85.79842105263091,85.7984210526309,62,52,60,54,0,11.157894736842104,4.0,1173,1308,190,173,1109,1040,1238,1151,82,69
8,0.6,3,3,0.541776364820724,16.15936999999994,164.0,0.5487804878048781,2.2308721785382586,-1.7501967887174512,98.53274390243851,98.53274390243851,86,78,90,74,0,12.597560975609756,4.0,902,964,188,172,855,818,919,865,106,97
6,0.6,3,2,0.5408228336200952,9.844019999999865,115.0,0.5130434782608696,2.006404004342932,-1.1706637541925116,85.60017391304225,85.60017391304228,62,53,59,56,0,11.147826086956522,4.0,1127,1261,189,175,1069,998,1196,1109,85,73
6,0.6,4,2,0.5401095054801379,10.29177999999986,124.0,0.5161290322580645,2.00255417142366,-1.3477266397143817,82.9982258064506,82.99822580645059,68,56,64,60,0,10.766129032258064,4.0,1173,1308,200,184,1109,1040,1238,1151,90,76
16,0.7,3,4,0.5400967026261619,11.102099999999915,137.0,0.5693430656934306,2.0104870536494346,-1.3257976511646221,81.03722627737156,81.03722627737153,83,54,78,58,1,13.766423357664234,5.0,720,766,163,136,681,656,725,683,100,68
12,0.7,3,3,0.5397606055721363,12.456829999999975,145.0,0.5310344827586206,2.06622004130728,-1.3853666549673682,85.90917241379292,85.9091724137929,76,69,77,68,0,10.53103448275862,5.0,902,964,176,158,855,818,919,865,94,87
8,0.7,2,2,0.5395083667032806,9.063359999999943,99.0,0.5353535353535354,2.117815517815512,-1.1736325445695421,91.54909090909011,91.54909090909013,53,46,53,46,0,11.676767676767676,4.0,1060,1215,166,156,1003,935,1151,1059,70,62
12,0.6,4,4,0.5337462305766644,12.805099999999946,155.0,0.567741935483871,2.0102515471205042,-1.5333768827539056,82.61354838709639,82.61354838709639,90,65,88,66,1,16.45806451612903,6.0,748,787,184,152,703,679,742,701,112,79
12,0.6,2,4,0.5329461559262988,11.584509999999938,142.0,0.5704225352112676,1.9788621059987257,-2.070281893506833,81.58105633802772,81.58105633802772,86,56,81,60,1,16.697183098591548,5.5,680,740,165,139,644,620,700,655,105,71
16,0.8,3,4,0.5284818965675705,8.598529999999926,107.0,0.5607476635514018,2.1272665536585293,-1.652250054846655,80.36009345794336,80.36009345794335,65,42,60,47,0,10.878504672897197,4.0,720,766,137,115,681,656,725,683,75,53
12,0.6,3,4,0.5266130743842449,11.610239999999926,147.0,0.5578231292517006,1.9323546889806074,-2.091068067378854,78.98122448979537,78.98122448979534,88,59,82,64,1,16.8843537414966,6.0,720,766,174,142,681,656,725,683,109,73
16,0.8,2,4,0.5264962548800394,8.325889999999948,103.0,0.5728155339805825,2.147330416508759,-1.6371600822834522,80.8338834951452,80.8338834951452,64,39,59,44,0,10.922330097087379,4.0,680,740,129,112,644,620,700,655,72,51
16,0.7,2,3,0.5262145323194164,13.063459999999939,162.0,0.5308641975308642,1.9381474986247489,-1.3793092631049684,80.63864197530846,80.63864197530846,85,77,86,76,0,11.32716049382716,4.0,862,926,187,180,817,781,882,825,108,100
24,0.9,4,2,0.5255664806649732,7.623769999999919,83.0,0.5301204819277109,2.2845420647985355,-0.9648802981230057,91.85265060240881,91.85265060240883,45,38,44,39,0,10.433734939759036,4.0,1173,1308,155,135,1109,1040,1238,1151,60,47
8,0.7,3,2,0.5251105537807093,8.87204999999991,105.0,0.5142857142857142,1.9866482950052802,-1.1748079081963627,84.49571428571335,84.49571428571332,57,48,54,51,0,11.552380952380952,4.0,1127,1261,180,163,1069,998,1196,1109,78,65
