total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,cost_mode,min_separation,max_separation,is_baseline_current,is_baseline_batch1,is_candidate_tpe,is_candidate_wide_simple,batch2b_score
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,50,False,False,False,False,0.4081719946967166
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,45,False,False,False,False,0.4081719946967166
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,42,False,False,True,False,0.4081719946967166
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,40,False,False,False,False,0.4081719946967166
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,35,False,False,False,True,0.4081719946967166
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,45,False,False,False,False,0.3947222132970936
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,40,False,False,False,False,0.3947222132970936
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,50,False,False,False,False,0.3947222132970936
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,35,False,False,False,False,0.3947222132970936
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,50,False,False,False,False,0.3860123543702166
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,45,False,False,False,False,0.3860123543702166
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,40,False,True,False,False,0.3860123543702166
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,35,False,False,False,False,0.3860123543702166
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,45,False,False,False,False,0.38324480184612475
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,50,False,False,False,False,0.38324480184612475
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,35,False,False,False,False,0.38324480184612475
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,40,False,False,False,False,0.38324480184612475
8,7,0.875,9.38017400000003,1.1725217500000038,0.7637940000000176,-0.4564279999999532,143,12,17.875,1.8997833416243886,1.5557696324199033,0.7631492369244663,-2.595991909251253,76,67,cost,11,45,False,False,False,False,0.38271082951194196
8,7,0.875,9.38017400000003,1.1725217500000038,0.7637940000000176,-0.4564279999999532,143,12,17.875,1.8997833416243886,1.5557696324199033,0.7631492369244663,-2.595991909251253,76,67,cost,11,50,False,False,False,False,0.38271082951194196
8,7,0.875,9.38017400000003,1.1725217500000038,0.7637940000000176,-0.4564279999999532,143,12,17.875,1.8997833416243886,1.5557696324199033,0.7631492369244663,-2.595991909251253,76,67,cost,11,40,False,False,False,False,0.38271082951194196
