entry_time,exit_time,side,entry_price_raw,entry_price_filled,exit_price_raw,exit_price_filled,qty,notional,target_risk_amount,actual_risk_amount,target_risk_pct,actual_risk_pct,stop_distance,raw_qty,max_qty,cap_hit,stop_price,target_price,gross_pnl,fees,slippage_cost,net_pnl,r_multiple,equity_before,equity_after,exit_reason,bars_held,position_mode,risk_per_trade_pct,period
2024-01-07 03:10:00+00:00,2024-01-07 13:25:00+00:00,long,44008.45,44013.45,44393.55999999999,44388.55999999999,2.2722,99996.00009,500.0,397.7486099999901,0.005,0.003977486099999901,175.04999999999563,2.8563267637818477,2.272290889590522,True,43833.4,44393.55999999999,852.3249419999848,80.34681884880001,22.722,771.9781231511848,1.9408694430162912,100000.0,100771.97812315119,target,122,capped_1x,0.005,2024-Q1
2024-01-07 17:20:00+00:00,2024-01-07 23:30:00+00:00,long,43946.91,43951.91,43700.0,43695.0,2.0406,89678.06454600001,503.85989061575594,503.84454600000714,0.005,0.004999847729338705,246.9100000000035,2.0406621465949084,2.2930389900712287,False,43700.0,44490.11200000001,-524.2505460000071,71.5409138184,20.406,-595.7914598184071,-1.1824906403142819,100771.97812315119,100176.18666333277,stop,73,capped_1x,0.005,2024-Q1
2024-01-10 03:35:00+00:00,2024-01-10 04:55:00+00:00,short,46136.01,46131.01,45968.94200000001,45973.94200000001,2.1713,100175.11851300001,500.88093331666386,164.88852199998925,0.005,0.0016459852135731472,75.93999999999505,6.595745763980728,2.1713231522043794,True,46211.95,45968.94200000001,341.0417483999827,79.99499291104001,21.713,261.04675548894267,1.5831711772451917,100176.18666333277,100437.23341882172,target,15,capped_1x,0.005,2024-Q1
2024-01-12 11:20:00+00:00,2024-01-12 11:25:00+00:00,short,46054.31,46049.31,46135.88,46140.88,2.1808,100435.239248,502.1861670941086,177.88785599999937,0.005,0.0017711345677773674,81.56999999999971,6.156505665000741,2.1808433004168712,True,46135.88,45874.856,-199.69585599999937,80.4193465408,21.808,-280.1152025407994,-1.5746729925217624,100437.23341882172,100157.11821628093,stop,0,capped_1x,0.005,2024-Q1
2024-01-13 10:30:00+00:00,2024-01-13 11:00:00+00:00,long,42749.44,42754.44,42627.63,42622.63,2.3428,100153.388032,500.7855910814047,285.3764680000116,0.005,0.002849287929628376,121.81000000000495,4.111202619500733,2.3428872569156676,True,42627.63,43017.42200000001,-308.8044680000116,80.0085598384,23.428,-388.8130278384116,-1.3624565142434792,100157.11821628093,99768.30518844252,stop,5,capped_1x,0.005,2024-Q1
2024-01-16 11:55:00+00:00,2024-01-16 12:10:00+00:00,long,42820.0,42825.0,42966.189999999995,42961.189999999995,2.3299000000000003,99766.31800000001,498.8415259422126,154.82185499999323,0.005,0.0015518140225752606,66.44999999999709,7.5070207064294125,2.3299464079505494,True,42753.55,42966.189999999995,317.3090809999885,79.9492976324,23.299000000000003,237.3597833675885,1.5331154853273066,99768.30518844252,100005.66497181011,target,2,capped_1x,0.005,2024-Q1
2024-01-16 18:55:00+00:00,2024-01-16 20:10:00+00:00,long,42974.0,42979.0,43281.362,43276.362,2.3271,100004.7954,500.02832485905054,325.11914099999797,0.005,0.003251007241356212,139.70999999999913,3.5790446271494787,2.327120234835252,True,42834.29,43281.362,691.9911102000024,80.28994116408,23.271,611.7011690359224,1.8814677202777372,100005.66497181011,100617.36614084603,target,14,capped_1x,0.005,2024-Q1
2024-01-17 11:15:00+00:00,2024-01-17 12:35:00+00:00,short,42760.0,42755.0,42560.78999999999,42565.78999999999,2.353,100614.28000000001,503.0868307042302,213.06415000000686,0.005,0.0021175683499979094,90.55000000000291,5.55590094648497,2.353072173546446,True,42850.55,42560.78999999999,445.2111300000151,80.303927548,23.53,364.9072024520151,1.7126635450027765,100617.36614084603,100982.27334329805,target,15,capped_1x,0.005,2024-Q1
2024-01-18 09:35:00+00:00,2024-01-18 10:00:00+00:00,long,42799.5,42804.5,42709.61,42704.61,2.3594,100981.1403,504.91136671649025,212.0864659999986,0.005,0.002100234615227884,89.88999999999942,5.6169915086938875,2.359426473283521,True,42709.61,42997.258,-235.68046599999863,80.7000776536,23.594,-316.38054365359864,-1.4917526309934397,100982.27334329805,100665.89279964444,stop,4,capped_1x,0.005,2024-Q1
2024-01-18 15:35:00+00:00,2024-01-18 16:10:00+00:00,short,42708.0,42703.0,42483.6,42488.6,2.357,100662.75600000001,503.3294639982222,240.41400000000002,0.005,0.002388236902428279,102.0,4.934602588217865,2.3570734475893143,True,42810.0,42483.6,505.34080000000347,80.31864048,23.57,425.02215952000347,1.767876078431387,100665.89279964444,101090.91495916444,target,6,capped_1x,0.005,2024-Q1
2024-01-22 07:00:00+00:00,2024-01-22 07:40:00+00:00,short,41232.2,41227.2,41036.46599999999,41041.46599999999,2.4517,101088.98474,505.4545747958222,218.12774900000286,0.005,0.002157738399025425,88.97000000000116,5.68117988980348,2.4517468133925537,True,41321.17,41036.46599999999,455.36404780000987,80.67923537288,24.517000000000003,374.6848124271299,1.7177310733955493,101090.91495916444,101465.59977159157,target,7,capped_1x,0.005,2024-Q1
2024-01-24 03:55:00+00:00,2024-01-24 04:05:00+00:00,long,39600.0,39605.0,39570.43,39565.43,2.5622000000000003,101463.12000000001,507.3279988579579,75.76425399999926,0.005,0.0007466989223002829,29.56999999999971,17.156848118294313,2.5622626204947365,True,39570.43,39665.054,-101.38625399999927,81.14019029840001,25.622000000000003,-182.52644429839927,-2.4091366925938593,101465.59977159157,101283.07332729317,stop,1,capped_1x,0.005,2024-Q1
2024-01-29 13:10:00+00:00,2024-01-29 13:25:00+00:00,long,42097.25,42102.25,41975.0,41970.0,2.4059,101281.773775,506.4153666364659,294.12127499999997,0.005,0.0029039529048408316,122.25,4.142456986801357,2.4059308702419555,True,41975.0,42366.2,-318.180275,80.90777051,24.058999999999997,-399.08804551000003,-1.3568826175869122,101283.07332729317,100883.98528178317,stop,2,capped_1x,0.005,2024-Q1
2024-01-30 13:55:00+00:00,2024-01-30 14:10:00+00:00,long,43300.0,43305.0,43153.06,43148.06,2.3298,100880.34000000001,504.41992640891584,342.3408120000054,0.005,0.003393410867381967,146.94000000000233,3.432829225594854,2.3298841866462627,True,43153.06,43623.268000000004,-365.63881200000543,80.56733567520001,23.298000000000002,-446.20614767520544,-1.3033974683544256,100883.98528178317,100437.77913410797,stop,2,capped_1x,0.005,2024-Q1
2024-01-31 14:00:00+00:00,2024-01-31 14:30:00+00:00,short,42717.77,42712.77,42925.52,42930.52,2.3511,100433.749047,502.18889567053986,488.441025,0.005,0.004863120523083419,207.75,2.4172750694129475,2.3511943421697334,True,42925.52,42260.719999999994,-511.95202500000005,80.54237564760001,23.511000000000003,-592.4944006476001,-1.2130316052948256,100437.77913410797,99845.28473346037,stop,5,capped_1x,0.005,2024-Q1
2024-02-06 11:25:00+00:00,2024-02-06 12:50:00+00:00,long,42849.58,42854.58,42670.61,42665.61,2.3301000000000003,99843.80635800002,499.22642366730184,417.01799700000277,0.005,0.004176641872605635,178.97000000000116,2.7894419381309636,2.330134501515776,True,42670.61,43243.314000000006,-440.31899700000275,79.7082378876,23.301000000000002,-520.0272348876027,-1.2470138905961876,99845.28473346037,99325.25749857277,stop,16,capped_1x,0.005,2024-Q1
2024-02-07 06:10:00+00:00,2024-02-07 06:15:00+00:00,short,43020.13,43015.13,42951.99599999999,42956.99599999999,2.3088,99324.87614400001,496.62628749286387,71.5035360000027,0.005,0.0007198927825687253,30.970000000001164,16.035721262281086,2.308808864561143,True,43051.1,42951.99599999999,134.21977920001265,79.39697780352,23.088,54.82280139649265,0.7667145495642422,99325.25749857277,99380.08029996927,target,0,capped_1x,0.005,2024-Q1
2024-02-08 05:15:00+00:00,2024-02-08 05:20:00+00:00,long,44510.0,44515.0,44574.834,44569.834,2.2327,99377.477,496.90040149984634,65.7976690000026,0.005,0.0006620810609268842,29.470000000001164,16.861228418725034,2.2327584879795386,True,44480.53,44574.834,122.42787180000572,79.55988354872,22.326999999999998,42.86798825128572,0.6515122633186904,99380.08029996927,99422.94828822055,target,0,capped_1x,0.005,2024-Q1
2024-02-14 01:55:00+00:00,2024-02-14 04:30:00+00:00,long,49424.34,49429.34,49333.0,49328.0,2.0116,99422.002344,497.11474144110275,183.73954399999297,0.005,0.0018480597001342607,91.33999999999651,5.442464872357365,2.0116191392382894,True,49333.0,49625.287999999986,-203.855543999993,79.4641060576,20.116,-283.319650057593,-1.5419633895336315,99422.94828822055,99139.62863816296,stop,30,capped_1x,0.005,2024-Q1
2024-02-16 06:25:00+00:00,2024-02-16 06:40:00+00:00,long,52131.21,52136.21,52009.63,52004.63,1.9017000000000002,99137.922057,495.69814319081485,231.20868600000335,0.005,0.0023321520281648655,121.58000000000175,4.077135574854481,1.9017327362661056,True,52009.63,52398.686,-250.22568600000335,79.21785417120002,19.017000000000003,-329.4435401712034,-1.424875275538734,99139.62863816296,98810.18509799177,stop,2,capped_1x,0.005,2024-Q1
2024-02-20 20:20:00+00:00,2024-02-20 20:35:00+00:00,short,51975.4,51970.4,52138.31,52143.31,1.901,98805.2354,494.05092548995884,309.6919099999928,0.005,0.003134210402428312,162.90999999999622,3.0326617487568,1.9010952315516911,True,52138.31,51616.99800000001,-328.70190999999284,79.168065084,19.01,-407.8699750839928,-1.3170185010128366,98810.18509799177,98402.31512290778,stop,2,capped_1x,0.005,2024-Q1
2024-02-23 01:55:00+00:00,2024-02-23 01:55:00+00:00,short,51479.37,51474.37,51327.196,51332.196,1.9114,98397.667818,492.0115756145389,132.21153799999666,0.005,0.0013435815797103964,69.16999999999825,7.1130775714117584,1.9114902750928726,True,51548.54,51327.196,271.75138359999823,78.60178810096001,19.114,193.14959549903824,1.4609133092381326,98402.31512290778,98595.46471840682,target,0,capped_1x,0.005,2024-Q1
2024-03-03 06:30:00+00:00,2024-03-03 06:30:00+00:00,long,61833.03,61838.03,61986.392,61981.392,1.5945,98592.766335,492.9773235920341,111.15259499999861,0.005,0.0011273601206450575,69.70999999999913,7.071830778827145,1.5945436398379123,True,61763.32,61986.392,228.5907090000016,78.9720273516,15.945,149.6186816484016,1.3460655745230552,98595.46471840682,98745.08340005521,target,0,capped_1x,0.005,2024-Q1
2024-03-05 10:55:00+00:00,2024-03-05 12:35:00+00:00,short,66850.01,66845.01,67150.0,67155.0,1.4771,98744.149771,493.7254170002761,443.1152290000078,0.005,0.004487466248874119,299.99000000000524,1.6458062502092319,1.4771139660271588,True,67150.0,66190.03199999998,-457.88622900000775,79.1725659084,14.771,-537.0587949084078,-1.2120070802360041,98745.08340005521,98208.0246051468,stop,19,capped_1x,0.005,2024-Q1
2024-03-09 03:40:00+00:00,2024-03-09 04:35:00+00:00,short,68226.42,68221.42,68275.74,68280.74,1.4394,98205.108948,491.040123025734,70.99120800001006,0.005,0.0007228656546696248,49.320000000006985,9.956206873999685,1.4394427350159484,True,68275.74,68117.91599999998,-85.38520800001005,78.59248364160001,14.394,-163.97769164161008,-2.3098309813461246,98208.0246051468,98044.04691350518,stop,10,capped_1x,0.005,2024-Q1
2024-03-12 19:30:00+00:00,2024-03-12 20:00:00+00:00,short,71510.18,71505.18,71191.57599999997,71196.57599999997,1.371,98040.45678,490.22023456752595,198.54822000000956,0.005,0.0020250920504655376,144.82000000000698,3.3850313117490836,1.3710502045094166,True,71655.0,71191.57599999997,423.09608400002907,78.25764299039999,13.71,344.8384410096291,1.7367994586383726,98044.04691350518,98388.88535451482,target,5,capped_1x,0.005,2024-Q1
