rr_target,oversold,overbought,is_baseline,full_year_total_return,full_year_total_trades,full_year_win_rate,full_year_profit_factor,full_year_max_drawdown,q_positive_count,q_trade_count_min,q_trade_count_mean,q_profit_factor_mean,q_profit_factor_median,q_profit_factor_min,q_max_drawdown_worst,stability_score
2.2,15,85,False,13.422817999999936,128,0.5390625,2.4483549731700496,-1.1070693441287212,4,28,32.0,2.601405085206953,2.0583742462659855,1.9815629742033434,-1.1340282149815497,0.5511210868096948
2.0,15,85,False,12.747759999999953,128,0.5703125,2.447776619352958,-1.128985290341587,4,28,32.0,2.666719114031493,2.0460796837832245,1.8768137765936923,-1.1546905887948826,0.5507210913214841
1.8,15,85,False,11.588251999999976,129,0.5968992248062015,2.364175973461064,-1.1518788863350902,4,29,32.25,2.587200693663361,1.950336910010557,1.8645184327825322,-1.1754654386221366,0.5455881294246586
2.2,20,80,False,13.625455999999957,144,0.5208333333333334,2.2097902271754566,-1.2862630841628966,4,30,36.0,2.2552245381729636,1.9797107491995178,1.7834557474599892,-1.2862630841628966,0.5298558150284245
2.2,25,75,False,13.981359999999988,152,0.5131578947368421,2.1373209991832858,-1.1311656257332046,4,30,38.0,2.1761944823789054,1.9124566873982998,1.7613731852526395,-1.1385608225006065,0.5265528203516088
2.0,20,80,True,12.750609999999952,144,0.5486111111111112,2.1806021986853747,-1.1353075131145436,4,30,36.0,2.2495284684603885,1.979625234151046,1.6213234067818114,-1.1593183594960002,0.525348492562465
1.5,15,85,False,9.388795000000005,129,0.627906976744186,2.168398540994395,-1.19074269806002,4,29,32.25,2.499027214216542,1.6863686525220913,1.6233715518219873,-1.206840623120286,0.5236122408376153
2.0,25,75,False,12.980469999999977,152,0.5394736842105263,2.0971880713433766,-1.1377517534749457,4,30,38.0,2.1499258091443396,1.88149433683542,1.6213234067818114,-1.1593183594960002,0.5204996008152483
1.8,20,80,False,11.391313999999952,145,0.5724137931034483,2.0859502446204408,-1.1508314454921222,4,31,36.25,2.1512734680272163,1.8344732142711049,1.6730057474894315,-1.180189344623108,0.5200260665532789
1.8,25,75,False,11.495129999999932,153,0.5620915032679739,1.9978151610635098,-1.1511548247954255,4,31,38.25,2.0525894562063933,1.7721106736651144,1.6114099048820774,-1.180189344623108,0.5122260591301167
2.5,15,85,False,12.536664999999925,127,0.49606299212598426,2.2138627273088103,-1.791354489840285,4,28,31.75,2.304623492969923,2.306323367287033,1.394962899056263,-1.8462248216242858,0.5052068226542035
1.5,20,80,False,8.892174999999947,145,0.6,1.8865012601389282,-1.1916215487866306,4,31,36.25,2.012423829919377,1.6098131792185968,1.3941714562411844,-1.2117105804369306,0.494552528791997
1.5,25,75,False,8.806924999999977,153,0.5882352941176471,1.7961983397852996,-1.1923234294844658,4,31,38.25,1.893398201306391,1.515998051867972,1.3941714562411844,-1.2117105804369306,0.48725819159784517
2.5,25,75,False,11.984909999999926,151,0.47019867549668876,1.867818359944934,-2.064409551147175,4,30,37.75,1.8905660306626217,1.8601301656974911,1.2381452783569924,-1.8535565844929447,0.4752317785248292
2.5,20,80,False,11.439939999999948,143,0.4755244755244755,1.8951572832459875,-2.0652757562916313,4,30,35.75,1.940289231332804,1.9261499679975116,1.2381452783569924,-1.8535565844929447,0.4749390346954393
