candidate_name,source_trial,cost_mode,ema_period,lookback_bars,min_close_ratio,k_period,smooth,d_period,oversold,overbought,left_bars,right_bars,min_separation,max_separation,rr_target,stop_buffer,setup_max_bars,positive_periods,positive_ratio,full_total_return,full_total_trades,full_win_rate,full_profit_factor,full_max_drawdown,avg_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,validation_score,risk_flag
tpe_trial_490,490,cost,82,24,0.5124336224529857,21,3,5,17,75,6,5,15,31,3.136708485655296,0.0,12,8,1.0,39.71804767331761,187,0.5133689839572193,2.6868378421224697,-1.9195261800521137,4.964755959164719,1.7861357054629545,187,17,23.375,2.867299849841057,1.7625986608414217,-2.1618310415426323,82,105,0.637002462492938,
tpe_trial_444,444,cost,84,24,0.5308664531689445,21,3,5,15,78,6,5,15,32,3.109240050478859,0.0,12,8,1.0,38.38927875524474,169,0.5384615384615384,2.9305200259508606,-1.95726726364283,4.79865984440559,1.1762106654870097,169,16,21.125,2.9933035590442914,1.5395313273428444,-2.113617355137781,66,103,0.6246381396024071,
tpe_trial_477,477,cost,64,24,0.5063535569369809,21,3,5,18,77,6,5,15,31,3.1831289577647306,0.0,12,8,1.0,38.149603030983556,185,0.5081081081081081,2.6908156522398654,-2.1148001448350686,4.768700378872962,0.9224755633520543,185,17,23.125,2.8441229840567845,1.4533316772252152,-2.39321595837582,86,99,0.6164343478661575,
tpe_trial_421,421,cost,86,24,0.5434366848234952,21,3,5,15,77,6,5,15,31,3.2682444920924563,0.0,12,8,1.0,35.45621544331059,154,0.5324675324675324,2.939790880877815,-1.6446203365424696,4.432026930413829,1.087497833360862,154,15,19.25,2.779409522746927,1.5114368870406092,-1.8017541327401354,57,97,0.598379988867685,
tpe_trial_302,302,cost,73,24,0.5600526430552384,17,3,5,16,82,6,5,15,31,3.2573822869071165,0.0,12,7,0.875,33.022316500817126,178,0.5056179775280899,2.5142662812704675,-1.9223809088381634,4.101578312602147,-1.1533210057388166,179,18,22.375,2.637026822546522,0.7015531463434708,-2.020584119053293,75,103,0.5378578957638629,QUARTER_UNSTABLE
tpe_trial_199,199,cost,88,24,0.6197021164080276,20,3,5,16,75,6,5,15,30,3.275916253980206,0.0,12,7,0.875,34.74671331287374,147,0.5034013605442177,2.92257159353787,-1.7959476430682242,4.343339164109206,-0.25720755832188136,147,13,18.375,2.700362214205552,0.9002321286851801,-1.8049666758747067,59,88,0.5323027374015875,QUARTER_UNSTABLE
tpe_trial_400,400,cost,84,24,0.5759634175620162,21,3,5,15,76,6,5,15,32,3.0822306830064248,0.0,12,7,0.875,32.22632424848371,158,0.5316455696202531,2.6532373519577814,-1.6444393460255544,4.028290531060459,-0.2605106632811327,158,14,19.75,2.7219023445911903,0.9122132597096793,-1.8053654274764928,59,99,0.529405536412378,QUARTER_UNSTABLE
tpe_trial_292,292,cost,83,24,0.6128870443666429,21,3,5,16,78,6,5,15,30,3.12473553840869,0.0,12,7,0.875,30.375344886688204,138,0.5144927536231884,2.794172763537402,-1.6397766644762062,3.7969181108360255,-0.1340207976870733,138,13,17.25,2.8492708730112977,0.9427806843533412,-1.8057127584966046,59,79,0.5250537505572962,QUARTER_UNSTABLE
tpe_trial_394,394,cost,83,24,0.618960509011099,20,3,5,14,77,6,5,15,32,3.2607595824423568,0.0,12,8,1.0,27.8391753251249,140,0.5071428571428571,2.5857763114869634,-1.6976354597547114,3.4798969156406123,0.2254093572819693,140,12,17.5,2.4938757328112566,1.108154095090071,-1.8010195546116714,51,89,0.5244117601403256,
tpe_trial_251,251,cost,85,24,0.6526279589638347,16,3,5,17,80,6,5,15,30,3.4365782359238444,0.0,12,7,0.875,32.491250902638825,148,0.5,2.7500479859139166,-1.9410127086011943,4.06140636282986,-0.8727165265871917,148,13,18.5,2.749344371210552,0.7497249732330391,-2.1307236507094762,58,90,0.5186447901211976,QUARTER_UNSTABLE
