candidate_name,source_trial,cost_mode,ema_period,lookback_bars,min_close_ratio,k_period,smooth,d_period,oversold,overbought,left_bars,right_bars,min_separation,max_separation,rr_target,stop_buffer,setup_max_bars,positive_periods,positive_ratio,full_total_return,full_total_trades,full_win_rate,full_profit_factor,full_max_drawdown,avg_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,validation_score,risk_flag
tpe_trial_490,490,no-cost,82,24,0.5124336224529857,21,3,5,17,75,6,5,15,31,3.136708485655296,0.0,12,8,1.0,43.4580476733176,187,0.5133689839572193,3.000291250763734,-1.8436503179308141,5.43225595916472,2.186135705462955,187,17,23.375,3.0685300666797675,1.98833505830365,-2.098111236231051,82,105,0.6574693494849791,
tpe_trial_444,444,no-cost,84,24,0.5308664531689445,21,3,5,15,78,6,5,15,32,3.109240050478859,0.0,12,8,1.0,41.76927875524474,169,0.5384615384615384,3.279303152840082,-1.7960039527958307,5.221159844405591,1.57621066548701,169,16,21.125,3.2517300846778743,1.8124545970160924,-1.9541348044919078,66,103,0.6553140140920778,
tpe_trial_477,477,no-cost,64,24,0.5063535569369809,21,3,5,18,77,6,5,15,31,3.1831289577647306,0.0,12,8,1.0,41.84960303098357,185,0.5081081081081081,3.0175445132384833,-2.0173377133169197,5.231200378872966,1.2624755633520612,185,17,23.125,3.049331279785058,1.6733633957117477,-2.310237661669294,86,99,0.6428499115093763,
tpe_trial_421,421,no-cost,86,24,0.5434366848234952,21,3,5,15,77,6,5,15,31,3.2682444920924563,0.0,12,8,1.0,38.53621544331054,154,0.5324675324675324,3.28859535948614,-1.5904041067263657,4.817026930413828,1.427497833360869,154,15,19.25,3.059585883099526,1.7249762873501604,-1.7594428821196415,57,97,0.6326919391507994,
tpe_trial_199,199,no-cost,88,24,0.6197021164080276,20,3,5,16,75,6,5,15,30,3.275916253980206,0.0,12,8,1.0,37.686713312873785,147,0.5034013605442177,3.2685019305842684,-1.6178335532525678,4.710839164109204,0.06279244167812781,147,13,18.375,2.9721261098700342,1.0264049021799775,-1.7633480675039135,59,88,0.5871709361664573,
tpe_trial_400,400,no-cost,84,24,0.5759634175620162,21,3,5,15,76,6,5,15,32,3.0822306830064248,0.0,12,8,1.0,35.38632424848369,158,0.5316455696202531,2.9645033741717732,-1.5961210958758738,4.423290531060461,0.11948933671885875,158,14,19.75,2.9033178325201576,1.0434895712960919,-1.7667820777028098,59,99,0.5807702800211513,
tpe_trial_292,292,no-cost,83,24,0.6128870443666429,21,3,5,16,78,6,5,15,30,3.12473553840869,0.0,12,8,1.0,33.135344886688166,138,0.5144927536231884,3.125423020313548,-1.5868743864344774,4.141918110836029,0.16597920231291585,138,13,17.25,3.0506183845857358,1.0767629726314625,-1.7633001740305763,59,79,0.5760424805894733,
tpe_trial_302,302,no-cost,73,24,0.5600526430552384,17,3,5,16,82,6,5,15,31,3.2573822869071165,0.0,12,7,0.875,36.582316500817136,178,0.5056179775280899,2.8247846985588354,-1.7469803095464513,4.549078312602148,-0.7333210057388184,179,18,22.375,2.835638024366936,0.7954137485000807,-1.825185610579072,75,103,0.5659448724835191,QUARTER_UNSTABLE
tpe_trial_394,394,no-cost,83,24,0.618960509011099,20,3,5,14,77,6,5,15,32,3.2607595824423568,0.0,12,8,1.0,30.639175325124903,140,0.5071428571428571,2.894165906267482,-1.6416328919691345,3.8298969156406093,0.5054093572819607,140,12,17.5,2.7343072615373507,1.262666297992347,-1.7587271038681134,51,89,0.5533252869464391,
tpe_trial_251,251,no-cost,85,24,0.6526279589638347,16,3,5,17,80,6,5,15,30,3.4365782359238444,0.0,12,7,0.875,35.45125090263876,148,0.5,3.07488100743998,-1.8665700842332231,4.431406362829864,-0.4927165265871891,148,13,18.5,3.0330455756148718,0.8473157898788692,-2.068002412048571,58,90,0.5481470892005516,QUARTER_UNSTABLE
