policy_name,period,total_signals,executed_trades,skipped_trades,execution_rate,total_return,profit_factor,sharpe_ratio,max_drawdown_pct,avg_r,expectancy_r,win_rate,long_trades,short_trades,total_fees,total_slippage_cost
always_execute,train,185,185,0,1.0,296.50122112125786,2.4639025837190385,4.245909595807697,-8.27589459105546,0.8674132761559389,0.8674132761559389,0.43783783783783786,86,99,925.0,0.0
simple_rule_filter,train,185,185,0,1.0,296.50122112125786,2.4639025837190385,4.245909595807697,-8.27589459105546,0.8674132761559389,0.8674132761559389,0.43783783783783786,86,99,925.0,0.0
learned_policy,train,126,126,0,1.0,492.9030786493008,14.87321997653944,16.320246155794223,-1.0728422873976489,2.2895754437237064,2.2895754437237064,0.8412698412698413,57,69,630.0,0.0
always_execute,val,26,26,0,1.0,-0.46979185789999267,0.9638736145012485,-0.06472326546016394,-8.070742934813767,-0.009386889270817357,-0.009386889270817357,0.15384615384615385,15,11,130.0,0.0
simple_rule_filter,val,26,26,0,1.0,-0.46979185789999267,0.9638736145012485,-0.06472326546016394,-8.070742934813767,-0.009386889270817357,-0.009386889270817357,0.15384615384615385,15,11,130.0,0.0
learned_policy,val,27,27,0,1.0,0.06571316110000058,1.004433626620371,-0.0038910709116319886,-9.430271634037721,-0.0005945064947671067,-0.0005945064947671067,0.18518518518518517,16,11,135.0,0.0
always_execute,test,34,34,0,1.0,0.188578455280064,1.0086949192603953,0.09117933386616145,-9.073673442215707,0.015167989449717886,0.015167989449717886,0.20588235294117646,10,24,170.0,0.0
simple_rule_filter,test,34,34,0,1.0,0.188578455280064,1.0086949192603953,0.09117933386616145,-9.073673442215707,0.015167989449717886,0.015167989449717886,0.20588235294117646,10,24,170.0,0.0
learned_policy,test,25,25,0,1.0,-10.52998218562018,0.4543426968434935,-2.992917111856913,-12.435353310387667,-0.3997417862575188,-0.3997417862575188,0.12,10,15,125.0,0.0
always_execute,2024-2025-Full,245,245,0,1.0,296.22000771863804,2.248640065860454,3.3196890084762853,-8.27589459105546,0.6560943208534608,0.6560943208534608,0.37551020408163266,111,134,1225.0,0.0
simple_rule_filter,2024-2025-Full,245,245,0,1.0,296.22000771863804,2.248640065860454,3.3196890084762853,-8.27589459105546,0.6560943208534608,0.6560943208534608,0.37551020408163266,111,134,1225.0,0.0
learned_policy,2024-2025-Full,178,178,0,1.0,482.4388096247808,7.926771698441506,8.518726698233571,-3.936523741900068,1.5644770200976983,1.5644770200976983,0.6404494382022472,83,95,890.0,0.0
