total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,cost_mode,min_separation,max_separation,batch2_score,trial_id
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,42,0.4081719946967166,51
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,41,0.4081719946967166,52
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,40,0.4081719946967166,28
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,42,0.4081719946967166,74
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,47,0.4081719946967166,73
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,38,0.4081719946967166,31
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,41,0.4081719946967166,32
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,35,0.4081719946967166,33
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,49,0.4081719946967166,72
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,46,0.4081719946967166,71
