candidate_name,position_mode,risk_per_trade_pct,period,ending_equity,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,max_drawdown_pct,avg_r,expectancy_r,avg_actual_risk_pct,max_actual_risk_pct,cap_hit_count,cap_hit_rate,total_fees,total_slippage_cost,cost_as_pct_of_gross_profit,long_trades,short_trades,long_pnl,short_pnl
robust_ema55,capped_3x,0.005,2024-Q1,100000.0,0.21281449699996902,30,0.43333333333333335,1.4912988066573885,1.577570851566459,-0.18222302970944715,0.38666666666667276,0.38666666666667293,0.000242055417295616,0.0005055204673811972,30,1.0,0.0,0.0,0.0,15,15,256.92410879999824,-44.10961179999977
robust_ema55,capped_3x,0.005,2024-Q2,100000.0,-0.10084974820000481,26,0.34615384615384615,0.7386965562485811,-1.0418453222493802,-0.2606150486844618,0.10769230769230502,0.10769230769230509,0.0001985268718169998,0.000411199333382011,26,1.0,0.0,0.0,0.0,14,12,-103.84572019999928,2.9959720000037535
robust_ema55,capped_3x,0.005,2024-Q3,100000.0,0.06625414540002428,25,0.48,1.2453206819221585,0.8169873101409297,-0.12019063906885377,0.5360000000000008,0.5360000000000007,0.00016912940547512015,0.0005417886033054258,25,1.0,0.0,0.0,0.0,17,8,9.355533400001995,56.89861199999564
robust_ema55,capped_3x,0.005,2024-Q4,100000.0,0.5321531072000063,22,0.6818181818181818,4.100834928215982,5.470766249050392,-0.07181919573042274,1.1818181818181768,1.1818181818181768,0.0002228348848848497,0.0005912534938856175,22,1.0,0.0,0.0,0.0,14,8,335.7275621999955,196.42554499999954
robust_ema55,capped_3x,0.005,2025-Q1,100000.0,-0.059272457600034745,26,0.38461538461538464,0.8660812939465816,-0.4784040327216895,-0.2738750759908345,0.2307692307692271,0.23076923076922706,0.00023719754567169506,0.0008068049606737386,26,1.0,0.0,0.0,0.0,12,14,-121.46715459999425,62.194697000001256
robust_ema55,capped_3x,0.005,2025-Q2,100000.0,0.398714822199997,28,0.6071428571428571,2.71679389536812,4.583083099827203,-0.0774055004487152,0.9428571428571385,0.9428571428571383,0.00018507646464777637,0.0005031350980739626,28,1.0,0.0,0.0,0.0,16,12,231.00617839999347,167.7086438000024
robust_ema55,capped_3x,0.005,2025-Q3,100000.0,-0.09197897339999761,28,0.35714285714285715,0.6662364678387329,-1.4367005005329416,-0.1333950897391259,0.14285714285715853,0.14285714285715834,0.00012825871298061294,0.00035272443719672463,28,1.0,0.0,0.0,0.0,19,9,-29.137747999999043,-62.84122539999913
robust_ema55,capped_3x,0.005,2025-Q4,100000.0,0.20643042820003288,20,0.55,1.8153230017039936,1.8651908697236643,-0.16799840951789916,0.7600000000000012,0.7600000000000011,0.00023081092328995824,0.000608466844809385,20,1.0,0.0,0.0,0.0,13,7,240.6423252000009,-34.21189699999704
robust_ema55,capped_3x,0.005,2024-2025-Full,100000.0,1.1587895903999446,206,0.470873786407767,1.4663402480702359,1.4172991261391201,-0.28643873260368136,0.5067961165048557,0.5067961165048558,0.0002000087496970356,0.0008072001762574233,206,1.0,0.0,0.0,0.0,121,85,812.8211495999968,345.96844080000676
robust_ema55,capped_5x,0.005,2024-Q1,100000.0,0.5910411603999854,30,0.43333333333333335,1.4902111272991414,1.5792886314901382,-0.5055088092511654,0.38666666666667276,0.38666666666667293,0.0006725115541035868,0.0014045615372602906,30,1.0,0.0,0.0,0.0,15,15,714.150675599995,-123.10951519999936
