candidate_name,source_trial,cost_mode,ema_period,lookback_bars,min_close_ratio,k_period,smooth,d_period,oversold,overbought,left_bars,right_bars,min_separation,max_separation,rr_target,stop_buffer,setup_max_bars,positive_periods,positive_ratio,full_total_return,full_total_trades,full_win_rate,full_profit_factor,full_max_drawdown,avg_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,validation_score,risk_flag
current_baseline,fixed,no-cost,55,24,0.8,14,1,3,15,85,4,3,3,20,2.2,0.0,12,5,0.625,11.302640000000054,206,0.470873786407767,1.5081169582861529,-2.6138952214495297,1.4218150000000014,-1.1950779999999828,205,20,25.625,1.7198025795464615,0.6590673604692348,-2.6974912078006383,121,85,0.36651981735708933,QUARTER_UNSTABLE
current_baseline,fixed,cost,55,24,0.8,14,1,3,15,85,4,3,3,20,2.2,0.0,12,5,0.625,7.18264000000004,206,0.470873786407767,1.2940791846764936,-2.932436639283608,0.9093150000000064,-1.7550779999999766,205,20,25.625,1.4826044758468475,0.5459423799323256,-2.8382249676747753,121,85,0.3340562441512617,COST_FRAGILE; QUARTER_UNSTABLE
pivot_wide_9_35,fixed,no-cost,55,24,0.8,14,1,3,15,85,4,3,9,35,2.2,0.0,12,7,0.875,15.23305000000008,188,0.5053191489361702,1.8011946613145233,-2.2294843052680133,1.9131162500000047,-0.11950599999996925,187,18,23.375,1.9282857329580472,0.943112968639937,-2.2294843052680133,106,82,0.44538487136715993,QUARTER_UNSTABLE
pivot_wide_9_35,fixed,cost,55,24,0.8,14,1,3,15,85,4,3,9,35,2.2,0.0,12,7,0.875,11.473050000000073,188,0.5053191489361702,1.5496619543408447,-2.6682264652021224,1.4456162500000147,-0.579505999999963,187,18,23.375,1.6576225406183385,0.7565878122952462,-2.6682264652021224,106,82,0.4081719946967166,QUARTER_UNSTABLE
tpe_trial_9,9,no-cost,33,24,0.9,11,1,2,12,88,6,4,14,49,2.58,0.0,12,7,0.875,12.0396135999999,55,0.6181818181818182,3.745974099432993,-1.4175600156240795,1.5049516999999901,-0.8373495999999703,55,2,6.875,2.9685627535297825,0.09954662766691011,-1.4421598379745932,20,35,-9999.0,LOW_TRADE_COUNT; QUARTER_UNSTABLE
tpe_trial_9,9,cost,33,24,0.9,11,1,2,12,88,6,4,14,49,2.58,0.0,12,7,0.875,10.939613599999888,55,0.6181818181818182,3.2769704815941787,-1.6193460605756118,1.36745169999999,-0.9173495999999726,55,2,6.875,2.780002381009581,0.07330935833199918,-1.5026392799332429,20,35,-9999.0,LOW_TRADE_COUNT; QUARTER_UNSTABLE
tpe_trial_421,421,no-cost,86,24,0.5434366848234952,21,3,5,15,77,6,5,15,31,3.2682444920924563,0.0,12,8,1.0,38.53621544331054,154,0.5324675324675324,3.28859535948614,-1.5904041067263657,4.817026930413828,1.427497833360869,154,15,19.25,3.059585883099526,1.7249762873501604,-1.7594428821196415,57,97,0.6326919391507994,
tpe_trial_421,421,cost,86,24,0.5434366848234952,21,3,5,15,77,6,5,15,31,3.2682444920924563,0.0,12,8,1.0,35.45621544331059,154,0.5324675324675324,2.939790880877815,-1.6446203365424696,4.432026930413829,1.087497833360862,154,15,19.25,2.779409522746927,1.5114368870406092,-1.8017541327401354,57,97,0.598379988867685,
tpe_trial_251,251,no-cost,85,24,0.6526279589638347,16,3,5,17,80,6,5,15,30,3.4365782359238444,0.0,12,7,0.875,35.45125090263876,148,0.5,3.07488100743998,-1.8665700842332231,4.431406362829864,-0.4927165265871891,148,13,18.5,3.0330455756148718,0.8473157898788692,-2.068002412048571,58,90,0.5481470892005516,QUARTER_UNSTABLE
tpe_trial_251,251,cost,85,24,0.6526279589638347,16,3,5,17,80,6,5,15,30,3.4365782359238444,0.0,12,7,0.875,32.491250902638825,148,0.5,2.7500479859139166,-1.9410127086011943,4.06140636282986,-0.8727165265871917,148,13,18.5,2.749344371210552,0.7497249732330391,-2.1307236507094762,58,90,0.5186447901211976,QUARTER_UNSTABLE
