cost_mode,k_period,smooth,d_period,min_separation,max_separation,total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,is_current_baseline,batch1_score
no-cost,9,1,3,3,15,8,6,0.75,13.669239999999938,1.7086549999999923,0.1983129999999833,-0.21910199999991553,176,17,22.0,2.2015284297149638,1.0995621878576731,0.9317622070099875,-2.2359012573671846,98,78,False,0.4224270534793116
no-cost,9,1,3,3,20,8,6,0.75,15.77782599999994,1.9722282499999926,0.3072609999999809,-0.15406199999998815,212,22,26.5,1.9906722660774605,1.134506370887146,0.9511289739311415,-2.0387552447466764,118,94,False,0.4365518435373851
no-cost,9,1,3,3,30,8,6,0.75,17.383355999999893,2.1729194999999866,0.7813320000000123,-0.18973600000002921,245,23,30.625,1.8525393072293055,1.2282788868363448,0.9234080000645744,-1.786955840598482,136,109,False,0.4358160911610555
no-cost,9,1,3,5,20,8,6,0.75,15.77782599999994,1.9722282499999926,0.3072609999999809,-0.15406199999998815,212,22,26.5,1.9906722660774605,1.134506370887146,0.9511289739311415,-2.0387552447466764,118,94,False,0.4365518435373851
no-cost,9,1,3,5,30,8,6,0.75,17.383355999999893,2.1729194999999866,0.7813320000000123,-0.18973600000002921,245,23,30.625,1.8525393072293055,1.2282788868363448,0.9234080000645744,-1.786955840598482,136,109,False,0.4358160911610555
no-cost,9,1,3,8,40,8,6,0.75,16.937373999999963,2.1171717499999954,1.2051050000000174,-0.8675960000000482,209,23,26.125,2.04069928395813,1.4916205230818556,0.7264950475073554,-2.035447595674177,118,91,False,0.43443268061982965
no-cost,14,1,3,3,15,8,4,0.5,8.288879999999988,1.0361099999999985,0.46927299999998673,-1.3727379999999845,173,16,21.625,1.7129557703930425,1.217674880099969,0.594502735339647,-3.3197526696370723,101,72,False,0.3039124345850526
no-cost,14,1,3,3,20,8,5,0.625,11.374520000000011,1.4218150000000014,0.8786509999999748,-1.1950779999999828,205,20,25.625,1.7198025795464615,1.3908124521674377,0.6590673604692348,-2.6974912078006383,120,85,True,0.36651981735708933
no-cost,14,1,3,3,30,8,7,0.875,14.767997999999938,1.8459997499999923,0.7134119999999688,-0.5723239999999685,235,21,29.375,1.7524485636280798,1.218161374868525,0.8081831283306087,-2.887751891904439,135,100,False,0.4358909863551059
no-cost,14,1,3,5,20,8,5,0.625,11.374520000000011,1.4218150000000014,0.8786509999999748,-1.1950779999999828,205,20,25.625,1.7198025795464615,1.3908124521674377,0.6590673604692348,-2.6974912078006383,120,85,False,0.36651981735708933
no-cost,14,1,3,5,30,8,7,0.875,14.767997999999938,1.8459997499999923,0.7134119999999688,-0.5723239999999685,235,21,29.375,1.7524485636280798,1.218161374868525,0.8081831283306087,-2.887751891904439,135,100,False,0.4358909863551059
no-cost,14,1,3,8,40,8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,False,0.44641122227189944
no-cost,40,1,4,3,15,8,2,0.25,-0.0733519999999821,-0.009168999999997762,0.0,-0.5107159999999888,10,0,1.25,0.2636344326904016,0.0,0.0,-0.6279293322354532,8,2,False,-9999.0
no-cost,40,1,4,3,20,8,3,0.375,0.23805800000002986,0.029757250000003732,0.0,-0.5107159999999888,11,0,1.375,0.2636344326904016,0.0,0.0,-0.6279293322354532,9,2,False,-9999.0
no-cost,40,1,4,3,30,8,3,0.375,0.23805800000002986,0.029757250000003732,0.0,-0.5107159999999888,11,0,1.375,0.2636344326904016,0.0,0.0,-0.6279293322354532,9,2,False,-9999.0
no-cost,40,1,4,5,20,8,3,0.375,0.23805800000002986,0.029757250000003732,0.0,-0.5107159999999888,11,0,1.375,0.2636344326904016,0.0,0.0,-0.6279293322354532,9,2,False,-9999.0
no-cost,40,1,4,5,30,8,3,0.375,0.23805800000002986,0.029757250000003732,0.0,-0.5107159999999888,11,0,1.375,0.2636344326904016,0.0,0.0,-0.6279293322354532,9,2,False,-9999.0
no-cost,40,1,4,8,40,8,2,0.25,0.424714000000026,0.05308925000000325,0.0,-0.7176700000000036,6,0,0.75,0.0,0.0,0.0,-0.7662945156873114,4,2,False,-9999.0
no-cost,40,4,4,3,15,8,1,0.125,-0.004795999999984701,-0.0005994999999980877,0.0,-0.13793000000000832,3,0,0.375,0.0,0.0,0.0,-0.19507300580524486,3,0,False,-9999.0
no-cost,40,4,4,3,20,8,1,0.125,-0.0691959999999825,-0.008649499999997812,0.0,-0.13793000000000832,5,0,0.625,0.1035796013943234,0.0,0.0,-0.5481140827244437,5,0,False,-9999.0
no-cost,40,4,4,3,30,8,1,0.125,-0.0691959999999825,-0.008649499999997812,0.0,-0.13793000000000832,5,0,0.625,0.1035796013943234,0.0,0.0,-0.5481140827244437,5,0,False,-9999.0
no-cost,40,4,4,5,20,8,1,0.125,-0.0691959999999825,-0.008649499999997812,0.0,-0.13793000000000832,5,0,0.625,0.1035796013943234,0.0,0.0,-0.5481140827244437,5,0,False,-9999.0
no-cost,40,4,4,5,30,8,1,0.125,-0.0691959999999825,-0.008649499999997812,0.0,-0.13793000000000832,5,0,0.625,0.1035796013943234,0.0,0.0,-0.5481140827244437,5,0,False,-9999.0
no-cost,40,4,4,8,40,8,0,0.0,-0.1382199999999889,-0.017277499999998613,0.0,-0.07381999999999111,3,0,0.375,0.1035796013943234,0.0,0.0,-0.5481140827244437,3,0,False,-9999.0
cost,9,1,3,3,15,8,3,0.375,10.14923999999996,1.268654999999995,-0.24168700000001264,-0.6591019999999115,176,17,22.0,1.9697495032237744,0.9004953114470334,0.7974973664563143,-2.451096557497693,98,78,False,0.31619153703195274
cost,9,1,3,3,20,8,3,0.375,11.537825999999962,1.4422282499999952,-0.23273900000001513,-0.6740619999999864,212,22,26.5,1.7166987743422029,0.9097661939160949,0.8047566634418781,-2.2946832693637713,118,94,False,0.32481863640796627
cost,9,1,3,3,30,8,4,0.5,12.483355999999901,1.5604194999999876,0.14133200000001067,-0.7897360000000297,245,23,30.625,1.5923682274070834,1.053738401451906,0.7196764197456237,-2.0461333801363986,136,109,False,0.34498738625949676
cost,9,1,3,5,20,8,3,0.375,11.537825999999962,1.4422282499999952,-0.23273900000001513,-0.6740619999999864,212,22,26.5,1.7166987743422029,0.9097661939160949,0.8047566634418781,-2.2946832693637713,118,94,False,0.32481863640796627
cost,9,1,3,5,30,8,4,0.5,12.483355999999901,1.5604194999999876,0.14133200000001067,-0.7897360000000297,245,23,30.625,1.5923682274070834,1.053738401451906,0.7196764197456237,-2.0461333801363986,136,109,False,0.34498738625949676
cost,9,1,3,8,40,8,4,0.5,12.757373999999931,1.5946717499999914,0.6651050000000158,-1.4075960000000443,209,23,26.125,1.7491153310151828,1.2788646219786646,0.6037329609756324,-2.5140556323714285,118,91,False,0.34687495932792706
cost,14,1,3,3,15,8,4,0.5,4.828880000000013,0.6036100000000016,0.009272999999992981,-1.8927379999999827,173,16,21.625,1.476727306419035,0.9791096215669468,0.4919260627275008,-3.441504649137118,101,72,False,0.2744141845843662
cost,14,1,3,3,20,8,5,0.625,7.274520000000051,0.9093150000000064,0.3286509999999798,-1.7550779999999766,205,20,25.625,1.4826044758468475,1.118744327099194,0.5459423799323256,-2.8382249676747753,120,85,True,0.3340562441512617
cost,14,1,3,3,30,8,5,0.625,10.067997999999946,1.2584997499999933,0.043411999999976025,-1.172323999999969,235,21,29.375,1.5074708976430538,1.0127172278861027,0.6514778369057977,-3.009743770160185,135,100,False,0.3491389320075835
cost,14,1,3,5,20,8,5,0.625,7.274520000000051,0.9093150000000064,0.3286509999999798,-1.7550779999999766,205,20,25.625,1.4826044758468475,1.118744327099194,0.5459423799323256,-2.8382249676747753,120,85,False,0.3340562441512617
cost,14,1,3,5,30,8,5,0.625,10.067997999999946,1.2584997499999933,0.043411999999976025,-1.172323999999969,235,21,29.375,1.5074708976430538,1.0127172278861027,0.6514778369057977,-3.009743770160185,135,100,False,0.3491389320075835
cost,14,1,3,8,40,8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,False,0.3860123543702166
cost,40,1,4,3,15,8,2,0.25,-0.27335199999996007,-0.03416899999999501,0.0,-0.5707159999999822,10,0,1.25,0.2137806337826136,0.0,0.0,-0.6600524148632922,8,2,False,-9999.0
cost,40,1,4,3,20,8,3,0.375,0.018058000000054086,0.002257250000006761,0.0,-0.5707159999999822,11,0,1.375,0.2137806337826136,0.0,0.0,-0.6600524148632922,9,2,False,-9999.0
cost,40,1,4,3,30,8,3,0.375,0.018058000000054086,0.002257250000006761,0.0,-0.5707159999999822,11,0,1.375,0.2137806337826136,0.0,0.0,-0.6600524148632922,9,2,False,-9999.0
cost,40,1,4,5,20,8,3,0.375,0.018058000000054086,0.002257250000006761,0.0,-0.5707159999999822,11,0,1.375,0.2137806337826136,0.0,0.0,-0.6600524148632922,9,2,False,-9999.0
cost,40,1,4,5,30,8,3,0.375,0.018058000000054086,0.002257250000006761,0.0,-0.5707159999999822,11,0,1.375,0.2137806337826136,0.0,0.0,-0.6600524148632922,9,2,False,-9999.0
cost,40,1,4,8,40,8,2,0.25,0.30471400000003923,0.038089250000004904,0.0,-0.7576699999999992,6,0,0.75,0.0,0.0,0.0,-0.8013174203350508,4,2,False,-9999.0
cost,40,4,4,3,15,8,1,0.125,-0.0647959999999781,-0.008099499999997262,0.0,-0.15793000000000612,3,0,0.375,0.0,0.0,0.0,-0.21006529493792447,3,0,False,-9999.0
cost,40,4,4,3,20,8,1,0.125,-0.16919599999997148,-0.021149499999996435,0.0,-0.15793000000000612,5,0,0.625,0.09202963543114284,0.0,0.0,-0.5631815927672891,5,0,False,-9999.0
cost,40,4,4,3,30,8,1,0.125,-0.16919599999997148,-0.021149499999996435,0.0,-0.15793000000000612,5,0,0.625,0.09202963543114284,0.0,0.0,-0.5631815927672891,5,0,False,-9999.0
cost,40,4,4,5,20,8,1,0.125,-0.16919599999997148,-0.021149499999996435,0.0,-0.15793000000000612,5,0,0.625,0.09202963543114284,0.0,0.0,-0.5631815927672891,5,0,False,-9999.0
cost,40,4,4,5,30,8,1,0.125,-0.16919599999997148,-0.021149499999996435,0.0,-0.15793000000000612,5,0,0.625,0.09202963543114284,0.0,0.0,-0.5631815927672891,5,0,False,-9999.0
cost,40,4,4,8,40,8,0,0.0,-0.1982199999999823,-0.024777499999997787,0.0,-0.10439999999999339,3,0,0.375,0.09202963543114284,0.0,0.0,-0.5631815927672891,3,0,False,-9999.0
